,,,,,Pedestrian Injury Hospitalizations : Summarize
Topic: Health Behavior and Population
Subtopic: Transportation-related Injuries
Indicator Name: Pedestrian Injury Hospitalizations
Indicator Description: 
Notes: ***Number is suppressed for confidentiality reasons.

Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,"Age-Adjusted Rate (per 100,000 residents)",Number,Notes Age-Adjusted Rate,Notes Number,
2016,Neighborhood (Community District),Bronx, Morris Park and Bronxdale (CD11),211,Pedestrian Injury Hospitalizations,23.4,28,,,
2016,Neighborhood (Community District),Bronx, Morrisania and Crotona (CD3),203,Pedestrian Injury Hospitalizations,38.9,35,,,
2016,Neighborhood (Community District),Bronx, Mott Haven and Melrose (CD1),201,Pedestrian Injury Hospitalizations,28.4,28,,,
2016,Neighborhood (Community District),Brooklyn, Park Slope and Carroll Gardens (CD6),306,Pedestrian Injury Hospitalizations,10.8,11,,,
2016,Neighborhood (Community District),Bronx, Parkchester and Soundview (CD9),209,Pedestrian Injury Hospitalizations,11.9,22,,,
2016,Neighborhood (Community District),Queens, Queens Village (CD13),413,Pedestrian Injury Hospitalizations,5.6,12,,,
2016,Neighborhood (Community District),Queens, Rego Park and Forest Hills (CD6),406,Pedestrian Injury Hospitalizations,16.5,20,,,
2016,Neighborhood (Community District),Queens, Ridgewood and Maspeth (CD5),405,Pedestrian Injury Hospitalizations,10.6,18,,,
2016,Neighborhood (Community District),Bronx, Riverdale and Fieldston (CD8),208,Pedestrian Injury Hospitalizations,,,***Number is suppressed for confidentiality reasons.,***Number is suppressed for confidentiality reasons.,
2016,Neighborhood (Community District),Queens, Rockaway and Broad Channel (CD14),414,Pedestrian Injury Hospitalizations,15.4,17,,,
2016,Neighborhood (Community District),Brooklyn, Sheepshead Bay (CD15),315,Pedestrian Injury Hospitalizations,13.2,27,,,
2016,Neighborhood (Community District),Staten Island, South Beach and Willowbrook (CD2),502,Pedestrian Injury Hospitalizations,16.1,24,,,
2016,Neighborhood (Community District),Brooklyn, South Crown Heights and Lefferts Gardens (CD9),309,Pedestrian Injury Hospitalizations,16.5,16,,,
2016,Neighborhood (Community District),Queens, South Ozone Park and Howard Beach (CD10),410,Pedestrian Injury Hospitalizations,9.8,13,,,
2016,Neighborhood (Community District),Staten Island, St. George and Stapleton (CD1),501,Pedestrian Injury Hospitalizations,29.3,53,,,
2016,Neighborhood (Community District),Manhattan, Stuyvesant Town and Turtle Bay (CD6),106,Pedestrian Injury Hospitalizations,11.8,18,,,
2016,Neighborhood (Community District),Brooklyn, Sunset Park (CD7),307,Pedestrian Injury Hospitalizations,17.0,19,,,
2016,Neighborhood (Community District),Bronx, Throgs Neck and Co-op City (CD10),210,Pedestrian Injury Hospitalizations,13.3,16,,,
2016,Neighborhood (Community District),Staten Island, Tottenville and Great Kills (CD3),503,Pedestrian Injury Hospitalizations,15.2,26,,,
2016,Neighborhood (Community District),Manhattan, Upper East Side (CD8),108,Pedestrian Injury Hospitalizations,9.5,25,,,
2016,Neighborhood (Community District),Manhattan, Upper West Side (CD7),107,Pedestrian Injury Hospitalizations,8.4,21,,,
2016,Neighborhood (Community District),Manhattan, Washington Heights and Inwood (CD12),112,Pedestrian Injury Hospitalizations,12.9,26,,,
2016,Neighborhood (Community District),Bronx, Williamsbridge and Baychester (CD12),212,Pedestrian Injury Hospitalizations,22.3,35,,,
2016,Neighborhood (Community District),Queens, Woodside and Sunnyside (CD2),402,Pedestrian Injury Hospitalizations,14.6,23,,,

Name:Pedestrian Injury Hospitalizations,Measure:Number,How Calculated:<p><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">Number of NYC&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">nonfatal&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">hospitalizations related to&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">pedestrian</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">&nbsp;injuries</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">&nbsp;among all ages was identified</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">&nbsp;using the following ICD</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">10-CM</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">&nbsp;injury codes:&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">V01-V99</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">.&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">Only live discharges and initial encounters are included.&nbsp;&nbsp;</span></span><span class="TextRun  BCX0 SCXW87449520" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun  BCX0 SCXW87449520">Citywide totals include both NYC residents and non-residents.&nbsp;</span></span></p>,Source(s):New York State Statewide Plann,Year:2016,
Name:Pedestrian Injury Hospitalizations,Measure:Age-Adjusted Rate (per 100000 residents),How Calculated:<p><span class="TextRun SCXW127225433 BCX0" lang="EN-US" xml:lang="EN-US" data-contrast="none"><span class="NormalTextRun SCXW127225433 BCX0">Counts were calculated as described above and summed within five age groups (0-17 18-24 25-44 45-6465+0 and divided by the population in each age group using NYC DOHMH intercensal estimates; quotients are multiplied by the proportion of the 2000 US population in each age group.&nbsp; Age-adjusted rate is the sum of the weighted age-specific rates expressed as cases per 100000 residents.</span></span><span class="EOP SCXW127225433 BCX0" data-ccp-props="{&quot;201341983&quot;:0&quot;335559739&quot;:160&quot;335559740&quot;:240}">&nbsp;</span></p>,Source(s):New York State Statewide Plann,Year:2016,

NYC Department of Health and Mental Hygiene
Environment & Health Data Portal
More information can be found at: http://nyc.gov/health/tracking
Accessed 02/25/2022
