dcas_bbl,dcas_hnum,display_hnum,dcas_sname,sname_1b,parcel_name,display_name,agency,primary_use_code,primary_use_text,reviewed
2025270014,1041,1041,UNIVERSITY AVENUE,UNIVERSITY AVENUE,UNIVERSITY AVE RESIDENCE,UNIVERSITY AVENUE RESIDENCE,DHS,736,TRANSITIONAL HOUSING - FAMILY,Y
3059730001,7805,7805,7 AVENUE,7 AVENUE,PS 127 & PLAYGROUND,PS 127 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3032340003,187,187,CENTRAL AVENUE,CENTRAL AVENUE,OLD 83 PCT OFF STREET PARKING,OLD 83 PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
1002410013,271,271,MARGINAL STREET,MARGINAL STREET,PIERS 35 & 36  EMS ST.4/DIV.1,PIERS 35 AND 36  EMS ST.4/DIV.1,DSBS,1500,NO USE,Y
3087120056,1075,1075,OCEAN VIEW AVENUE,OCEAN VIEW AVENUE,PS 225 & PLAYGROUND,PS 225 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4129930118,179-37,179-37,137 AVENUE,137 AVENUE,PS 37 & PLAYGROUND,PS 37 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4104470007,191-02,191-02,90 AVENUE,90 AVENUE,PS 35 & PLAYGROUND,PS 35 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4101780001,108-35,108-35,167 STREET,167 STREET,JHS 8 & PLAYGROUND,JHS 8 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,Y
3048150020,490,490,FENIMORE STREET,FENIMORE STREET,PS 397 & PLAYGROUND,PS 397 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4101550029,165-15,165-15,ARCHER AVENUE,ARCHER AVENUE,C. DREW ELC 3 & T. JACKSON SC,C. DREW ELC 3 AND T. JACKSON SENIOR CENTER,AGING,752,SENIOR CENTER,Y
2041410011,,,BLONDELL AVENUE,BLONDELL AVENUE,WESTCHESTER AVE IRT YARD,WESTCHESTER AVENUE IRT YARD,NYCTA,863,TRANSIT YARD,Y
3032320049,1309,1309,DEKALB AVENUE,DEKALB AVENUE,OLD 83PCT OFF STREET PARKING,OLD 83 PRECINCT OFF STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
4016280021,97-40,97-40,43 AVENUE,43 AVENUE,CORONA ARTS & SCIENCES ACADEMY,CORONA ARTS AND SCIENCES ACADEMY,SCA,200,EDUCATIONAL FACILITY,Y
3083290235,9920,9920,SEAVIEW AVENUE,SEAVIEW AVENUE,BAY VIEW HOUSES/PS 272 PLGD,BAY VIEW HOUSES/PS 272 PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3080120400,6080,6080,FLATLANDS AVENUE,FLATLANDS AVENUE,FLATLANDS AVE YARD,FLATLANDS AVENUE YARD,DOT,912,FACILITIES MAINTENANCE,Y
3004630021,140,140,2 PLACE,2 PLACE,SMITH ST SUBSTATION & ROW F,SMITH STREET SUBSTATION AND RIGHT OF WAY F,NYCTA,860,TRANSIT FACILITY,Y
1018730009,241,241,WEST  101 STREET,WEST  101 STREET,REHAB PROGRAM  DOUGLASS REHABS,REHAB PROGRAM  DOUGLASS REHAB,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
3044010001,923,923,JEROME STREET,JEROME STREET,PS 273 & PLAYGROUND. (JOP),PS 273 AND PLAYGROUND. (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
3035440150,354,354,SUTTER AVENUE,SUTTER AVENUE,PS 284 PLAYGROUND/ DR GREEN PK,PS 284 PLAYGROUND/ DR GREEN PARK,PARKS,430,PLAYGROUND/SPORTS AREA,Y
5038330015,,,FR CAPODANNO BLVD,FR CAPODANNO BOULEVARD,FD ROOSEVELT BOARDWALK & BEACH,FRANKLIN D. ROOSEVELT BOARDWALK AND BEACH,PARKS,400,RECREATIONAL FACILITY,Y
4159530023,450,450,BEACH 37 STREET,BEACH   37 STREET,NORTON AVE,NORTON AVENUE,DOT,880,ROAD/HIGHWAY,Y
4098750001,83-02,83-02,172 STREET,172 STREET,PS 131 & PLAYGROUND,PS 131 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4161810001,190,190,BEACH  110 STREET,BEACH  110 STREET,PS 225 & PLAYGROUND.(JOP),PS 225 AND PLAYGROUND.(JOP),PARKS,431,PLAYGROUND,Y
5044410150,,,CEDARVIEW AVENUE,CEDARVIEW AVENUE,LA TOURETTE PARK & GOLF COURSE,LA TOURETTE PARK AND GOLF COURSE,CULT,390,OTHER CULTURAL FACILITY,Y
2047530095,,,E 222 ST,EAST  222 STREET,IRT DYRE AVE LINE R.O.W,IRT DYRE AVENUE LINE RIGHT OF WAY,NYCTA,861,TRANSIT WAY,Y
2038860002,1595,1595,EAST 174 STREET,EAST  174 STREET,BRONX RIVER HSES/NEIGHBORHD SC,BRONX RIVER HOUSES/NEIGHBORHOOD SENIOR CENTER,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
5041600339,121,121,KISSAM AVENUE,KISSAM AVENUE,SI LEVEE PROJECT PHASE 2,STATEN ISLAND LEVEE PROJECT PHASE 2,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
4118740048,13516,13516,134 STREET,134 STREET,POLICE OFFICER EDWARD BYRNE PK,POLICE OFFICER EDWARD BYRNE PARK,PARKS,442,COMMUNITY PARK,Y
3032410037,800,800,BUSHWICK AVENUE,BUSHWICK AVENUE,PS 274  MINI SCHL & PLAYGRND,PS 274  MINI SCHOOL AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3035080050,692,692,RALPH AVENUE,RALPH AVENUE,RALPH AVE REHAB,RALPH AVENUE REHAB,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
4076190001,218-12,218-12,67 AVENUE,67 AVENUE,PS 46 & PLAYGROUND (JOP),PS 46 AND PLAYGROUND (JOP),PARKS,431,PLAYGROUND,Y
1012140029,100,100,WEST   84 STREET,WEST   84 STREET,PS 9 & PLAYGROUND,PS 9 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
5000680070,0,0,RICHMOND TERRACE,RICHMOND TERRACE,SAILOR'S SNUG HARBOR PK-ADDTN,SAILOR'S SNUG HARBOR PARK ADDITION,DSBS,852,RAIL LINE,Y
2029490006,1825,1825,PROSPECT AVENUE,PROSPECT AVENUE,ADMIRAL FARRAGUT (PS44) PLGD,ADMIRAL FARRAGUT (PS44) PLAYGROUND,EDUC,430,PLAYGROUND/SPORTS AREA,Y
2030080030,1001,1001,BOONE AVENUE,BOONE AVENUE,PS 66 & PLAYGROUND,PS 66 AND PLAYGROUND,EDUC,431,PLAYGROUND,Y
4097240173,85-05,85-05,144 STREET,144 STREET,JHS 217 & PLAYGROUND (JOP),JHS 217 AND PLAYGROUND (JOP),PARKS,431,PLAYGROUND,Y
3043490050,800,800,VAN SICLEN AVENUE,VAN SICLEN AVENUE,JHS 166 & PLAYGROUND. (JOP),JHS 166 AND PLAYGROUND. (JOP),PARKS,430,PLAYGROUND/SPORTS AREA,Y
1021070026,475,475,WEST  155 STREET,WEST  155 STREET,PS 28 PLYGD/WRIGHT BROS PK-JOP,PS 28 PLAYGROUND AND WRIGHT BROTHERS PARK JOINT OPERATED PLAYGROUND,PARKS,431,PLAYGROUND,Y
3024230001,325,325,SOUTH    3 STREET,SOUTH    3 STREET,PS 19 & PLAYGROUND,PS 19 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4161810001,190,190,BEACH  110 STREET,BEACH  110 STREET,PS 225 & PLAYGROUND.(JOP),PS 225 AND PLAYGROUND.(JOP),EDUC,211,ELEMENTARY SCHOOL,Y
2038660031,1350,1350,MANOR AVENUE,MANOR AVENUE,BX RIVER HOUSES ADDITION,BRONX RIVER HOUSES ADDITION,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
1011710136,O,O,,,B/O RIVERSIDE BLVD & W 64ST,B/O RIVERSIDE BLVD AND W 64ST,DOT,880,ROAD/HIGHWAY,Y
2023640025,3062,3062,THIRD AVENUE,THIRD AVENUE,JOHN & MICHAEL FLYNN PLGD,JOHN AND MICHAEL FLYNN PLAYGROUND,PARKS,431,PLAYGROUND,Y
3030460001,207,207,BUSHWICK AVENUE,BUSHWICK AVENUE,PS 196 & PLAYGROUND,PS 196 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
1016740010,315,315,EAST 102 STREET,EAST  102 STREET,METRO NORTH REHABS,METRO NORTH REHAB,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2041450001,,,WATERS PLACE,WATERS PLACE,WESTCHESTER AVE IRT YARD,WESTCHESTER AVENUE IRT YARD,NYCTA,863,TRANSIT YARD,Y
4003320002,35-34,35-34,21 STREET,21 STREET,RAVENSWOOD HOUSES & LIBRARY,RAVENSWOOD HOUSES AND LIBRARY,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
1001210001,1,1,CENTRE STREET,CENTRE STREET,DAVID N. DINKINS MN MUNI BLDG,DAVID N. DINKINS MANHATTAN MUNICIPAL BUILDING,OCA,100,OFFICE,Y
5021650170,10,10,TELEPORT DRIVE,TELEPORT DRIVE,TELEPORT LEASE TO PORT AUTH,TELEPORT LEASE TO PORT AUTHORITY,DA-SI,110,AGENCY EXECUTIVE OFFICE,Y
3047530001,9301,9301,AVENUE B,AVENUE B,PS 233 & PLAYGROUND,PS 233 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
5021650085,,,SOUTH AVENUE,SOUTH AVENUE,TELEPORT LEASE TO PORT AUTH,TELEPORT LEASE TO PORT AUTHORITY,EDC,1900,IN USE-TENANTED,Y
3036800029,1762,1762,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,E BKLYN INDUST'L PARK-SITE 2,E BROOKLYN INDUSTRIAL PARK-SITE 2,DCAS,1500,NO USE,Y
4090530014,82-01,82-01,101 AVENUE,101 AVENUE,PS 64 & PLAYGROUND..(JOP),PS 64 AND PLAYGROUND (JOINT OPERATED PLAYGROUND),EDUC,211,ELEMENTARY SCHOOL,Y
2024240001,1000,1000,TELLER AVENUE,TELLER AVENUE,JHS 145 & PLAYGROUND (JOP),JHS 145 AND PLAYGROUND (JOP),EDUC,212,INTERMEDIATE SCHOOL,Y
1001210001,1,1,CENTRE STREET,CENTRE STREET,DAVID N. DINKINS MN MUNI BLDG,DAVID N. DINKINS MANHATTAN MUNICIPAL BUILDING,PRIV,100,OFFICE,Y
3026220028,131,131,NORMAN AVENUE,NORMAN AVENUE,PS 34 & PLAYGROUND,PS 34 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
4122610001,156-10,156-10,BAISLEY BOULEVARD,BAISLEY BOULEVARD,AUGUST MARTIN HS & ATH FIELD,AUGUST MARTIN HS AND ATHLETIC FIELD,EDUC,213,ACADEMIC HIGH SCHOOL,Y
4098670002,165-65,165-65,84 AVENUE,84 AVENUE,T EDISON VOC HS ATH FLD& PLYGD,T EDISON VOC HS ATHLETIC FIELD AND  PLAYGROUND,EDUC,214,VOCATIONAL HIGH SCHOOL,Y
1011300001,175,175,CENTRAL PARK WEST,CENTRAL PARK WEST,T.ROOSEVELT PARK & MUS NAT HIS,THEODORE ROOSEVELT PARK AND MUSEUM OF NATURAL HISTORY,CULT,310,MUSEUM/GALLERY,Y
4013080056,,,WOODSIDE AVENUE,WOODSIDE AVENUE,REV MATTHEW J CROSSON MEM PK,REVEREND MATTHEW J CROSSON MEMORIAL PARK,PARKS,410,SITTING AREA,Y
3074200026,1801,1801,AVENUE Y,AVENUE Y,PS 254 & PLAYGROUND,PS 254 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3034320040,41,41,COOPER STREET,COOPER STREET,COOPER ST BLOCK BUSTER GDN,COOPER ST BLOCK BUSTER GARDEN,PARKS,472,COMMUNITY GARDEN,Y
2044930001,2545,2545,GUNTHER AVENUE,GUNTHER AVENUE,JHS 144 & L B BURNS PLGRD,JHS 144 AND L B BURNS PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,Y
4050470001,142-30,142-30,BARCLAY AVENUE,BARCLAY AVENUE,PS 20 & PLAYGROUND (JOP),PS 20 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
3012300050,1115,1115,PROSPECT PLACE,PROSPECT PLACE,ALBANY AVENUE DCC PLAYLOT,ALBANY AVENUE DCC PLAYGROUND,EDUC,434,ACCESSORY PLAY AREA,Y
3014680066,1431-85,1431-85,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,73 PCT OFF-STREET PARKING,73 PRECINCT OFF-STREET PARKING,NYPD,1020,OUTDOOR PARKING,Y
2023590040,702,702,BROOK AVENUE,BROOK AVENUE,P/O SOUTH BRONX ATHL FIELD,P/O SOUTH BRONX ATHLETIC FIELD,EDUC,432,PLAYING FIELD,Y
4161140002,85-02,85-02,ROCKAWAY BEACH BOULEVARD,ROCKAWAY BEACH BOULEVARD,HAMMEL HOUSES & PLAYGROUND,HAMMEL HOUSES AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
1018720029,830,830,AMSTERDAM AVENUE,AMSTERDAM AVENUE,830 AMSTERDAM AVE HOUSES,830 AMSTERDAM AVENUE HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2031150021,2475,2475,SOUTHERN BOULEVARD,SOUTHERN BOULEVARD,PS 205-A & 205-B,PS 205-A AND 205-B,EDUC,211,ELEMENTARY SCHOOL,Y
4123750062,,,120 AVENUE,120 AVENUE,LOCUST MANOR CIVIC ASSOC GDN,LOCUST MANOR CIVIC ASSOC GARDEN,PARKS,472,COMMUNITY GARDEN,Y
5047920078,78,78,FOX BEACH AVENUE,FOX BEACH AVENUE,SI LEVEE PROJECT PHASE 2,STATEN ISLAND LEVEE PROJECT PHASE 2,PARKS,471,NATURAL AREA/WETLAND/WILDLIFE REFUGE,Y
1001210001,1,1,CENTRE STREET,CENTRE STREET,DAVID N. DINKINS MN MUNI BLDG,DAVID N. DINKINS MANHATTAN MUNICIPAL BUILDING,PBADV,100,OFFICE,Y
4120380041,,,143 AVENUE,143 AVENUE,OMEGA PSI PHI DCC PLAYLOT,OMEGA PSI PHI DCC PLAYGROUND,EDUC,431,PLAYGROUND,Y
3019380001,325,325,CLASSON AVENUE,CLASSON AVENUE,LAFAYETTE GARDENS & PLAYGROUND,LAFAYETTE GARDENS AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3030460001,207,207,BUSHWICK AVENUE,BUSHWICK AVENUE,PS 196 & PLAYGROUND,PS 196 AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3034890029,95,95,GLENMORE AVENUE,GLENMORE AVENUE,HOWARD HOUSES PLGD & POOL,HOWARD HOUSES PLAYGROUND AND POOL,PARKS,430,PLAYGROUND/SPORTS AREA,Y
1014880017,76-99,76-99,F D R DRIVE,F D R DRIVE,JOHN JAY PARK.& POOL,JOHN JAY PARK AND  POOL,PARKS,440,PARK,Y
2028690116,1930,1930,HARRISON AVENUE,HARRISON AVENUE,HARRISON AVE REHAB (GROUP A),HARRISON AVENUE REHAB (GROUP A),NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2024680001,851,851,GRAND CONCOURSE,GRAND CONCOURSE,BX SUPREME COUNTY COURTHOUSE,BRONX SUPREME COUNTY COURTHOUSE,CLERK,130,BOROUGH OFFICE,Y
2023020058,341,341,EAST  139 STREET,EAST  139 STREET,40 PCT PERSONNEL PARKING,40 PRECINCT PERSONNEL PARKING,NYPD,1020,OUTDOOR PARKING,Y
4096570001,126-02,126-02,82 AVENUE,82 AVENUE,QNS CRIMINAL COURT/PARKING LOT,QUEENS CRIMINAL COURT/PARKING LOT,MAYOR,130,BOROUGH OFFICE,Y
2024240001,1000,1000,TELLER AVENUE,TELLER AVENUE,JHS 145 & PLAYGROUND (JOP),JHS 145 AND PLAYGROUND (JOP),PARKS,430,PLAYGROUND/SPORTS AREA,Y
3021030004,300,300,ADELPHI STREET,ADELPHI STREET,JHS 113 & PLAYGROUND/OLD 294,JHS 113 AND PLAYGROUND/OLD 294,PARKS,430,PLAYGROUND/SPORTS AREA,Y
3021750030,70,70,CLYMER STREET,CLYMER STREET,TAYLOR ST WYTHE AVE HOUSES,TAYLOR ST WYTHE AVENUE HOUSES,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
2027810306,2,2,FARRAGUT STREET,FARRAGUT STREET,S BX MARINE TRANSFER STN/SALT,SOUTH BRONX MARINE TRANSFER STATION/SALT,EDC,1900,IN USE-TENANTED,Y
3061400001,7420,7420,SHORE ROAD,SHORE ROAD,JOHN PAUL JONES/SHORE ROAD PK,JOHN PAUL JONES/SHORE ROAD PARK,PARKS,440,PARK,Y
3040690001,605,605,SHEPHERD AVENUE,SHEPHERD AVENUE,PS 72 & PLAYGROUND,PS 72 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
1007490070,346,346,WEST 26 STREET,WEST   26 STREET,PENN STATION SOUTH HSES PLGD,PENN STATION SOUTH HOUSES PLAYGROUND,PARKS,431,PLAYGROUND,Y
4086160001,248-05,248-05,86 AVENUE,86 AVENUE,PS 133 & PLAYGROUND (JOP),PS 133 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
5014780500,50,50,HOUSTON STREET,HOUSTON STREET,IS 51 & PLAYGROUND,IS 51 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,Y
3015160001,379,379,HOPKINSON AVENUE,HOPKINSON AVENUE,MARION & HOPKINSON PLAYGROUND,MARION AND HOPKINSON PLAYGROUND,PARKS,440,PARK,Y
3015520043,1355,1355,HERKIMER STREET,HERKIMER STREET,PS 155 & PLAYGROUND,PS 155 AND PLAYGROUND,EDUC,211,ELEMENTARY SCHOOL,Y
3045990001,1100,1100,EAST NEW YORK AVENUE,EAST NEW YORK AVENUE,PS 189 & PS 189 MINI SCHL&PLGD,PS 189 BILINGUAL CENTER,EDUC,211,ELEMENTARY SCHOOL,Y
3037390018,300,300,WYONA STREET,WYONA STREET,IS 292 & PLAYGROUND,IS 292 AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
2023240005,502,502,MORRIS AVENUE,MORRIS AVENUE,PS 18 PLGD/PARK.(JOP),PS 18 PLAYGROUND AND PARK (JOINT OPERATED PLAYGROUND),EDUC,430,PLAYGROUND/SPORTS AREA,Y
4132720054,144-23,144-23,166 STREET,166 STREET,FHA REPOSSESSED HSES GROUP 3,FHA REPOSSESSED HOUSES GROUP 3,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
5041600100,,,KISSAM AVENUE,KISSAM AVENUE,SI LEVEE PROJECT PHASE 1,STATEN ISLAND LEVEE PROJECT PHASE 1,PARKS,440,PARK,Y
4007140052,45-02,45-02,30 ROAD,30 ROAD,ASTORIA HTS REC PK&JHS10 PLGD,ASTORIA HEIGHTS PARK AND JHS 10 JOINT OPERATED PLAYGROUND,PARKS,431,PLAYGROUND,Y
3044760022,982,982,HEGEMAN AVENUE,HEGEMAN AVENUE,PS 202 PLAYGRD ADDITION,PS 202 PLAYGROUND ADDITION,EDUC,431,PLAYGROUND,Y
3015500001,1137,1137,HERKIMER STREET,HERKIMER STREET,IS 271 & PLAYGROUND,IS 271 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,Y
2037370001,1471,1471,WATSON AVENUE,WATSON AVENUE,1471 WATSON AVE PROJECT,1471 WATSON AVENUE PROJECT,NYCHA,1410,IN USE-RESIDENTIAL STRUCTURE,Y
3037290020,1868,1868,PITKIN AVENUE,PITKIN AVENUE,E BKLYN INDUSTRIAL INCUBATOR,E BROOKLYN INDUSTRIAL INCUBATOR,EDC,1900,IN USE-TENANTED,Y
3017980007,492,492,GREENE AVENUE,GREENE AVENUE,MARCY AVE - GREENE AVE SITE B,MARCY AVENUE - GREENE AVE SITE B,NYCHA,470,OPEN SPACE,Y
2025430060,684-780,684-780,EAST 132 STREET,EAST  132 STREET,DOS BRONX 1 3 & 4 GARAGES,"SANITATION BRONX, 1 3 AND 4 GARAGES",SANIT,940,COMBINED MAINTENANCE/STORAGE FACILITY,Y
3078930052,1750,1750,EAST 49 STREET,EAST   49 STREET,BK EAST 15 GARAGE,BROOKLYN EAST 15 GARAGE,SANIT,940,COMBINED MAINTENANCE/STORAGE FACILITY,Y
4160390014,488,488,BEACH   66 STREET,BEACH   66 STREET,PS 42 & PLAYGROUND (JOP),PS 42 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
2026860020,681,681,KELLY STREET,KELLY STREET,IS 52 & PLAYGROUND,IS 52 AND PLAYGROUND,EDUC,212,INTERMEDIATE SCHOOL,Y
4077230001,61-15,61-15,OCEANIA STREET,OCEANIA STREET,IS 74 & PLAYGROUND,IS 74 AND PLAYGROUND,PARKS,430,PLAYGROUND/SPORTS AREA,Y
5047160060,200,200,ADELAIDE AVENUE,ADELAIDE AVENUE,PS 50 & PLAYGROUND (JOP),PS 50 AND PLAYGROUND (JOP),EDUC,211,ELEMENTARY SCHOOL,Y
3015160070,,,MARION STREET,MARION STREET,MARION & HOPKINSON PLAYGROUND,MARION AND HOPKINSON PLAYGROUND,PARKS,440,PARK,Y
