unique_id,tracking_code,borough,borough_code,cd,commdist,cb_label,type_br,type,priority,need,request,explanation,location,site_name,address,street_name,street_cross_1,street_cross_2,supporters_1,supporters_2,parent_tracking_code,agency_acronym,agency,agency_category_response,agency_response,geo_function,geom
2746,401202417E,Queens,4,01,401,QN 01,E, ,17,Park maintenance and safety,Other expense budget request for TLC,401202020E - Hire Additional TLC Inspectors to service our district. Due to the fact we are a transit hub we have a large amount of taxis in and out of our district we require inspectors for oversight.,,,,,,,,,,LPC,156,1,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
2776,401202432E,Queens,4,01,401,QN 01,E, ,32,Park maintenance and safety,Other expense budget request for FDNY,FDNY requires a mobile emergency response unit to service the community. FDNY relies on it vehicles to service a tremendous amount of people and as the population grows the inventory has not.  This will help make FDNY's job even more responsive.,,,,,,,,,,FDNY,57,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
2821,402202407C,Queens,4,02,402,QN 02,C, ,07,Water supply system,Invest in infrastructure that will support growth in commercial business districts,"Improve streetcape  in business districts to attract and encourage commercial activity within the Commercial corridor at 61st Street / Roosevelt Avenue. To  preserve, support enhance, repair, replace Street lighting, sidewalks, loose bricks. In addition, encourage new businesses and preserve existing businesses.",Street Name: 61st Street and Roosevelt Avenue,,61st Street and Roosevelt Avenue,61st Street Roosevelt Avenue,,,,,,EDC,802,8,Securing funding for this request is outside of EDC's jurisdiction; please contact the agency if you have any questions about the EDC budget process.,GEOCODING FAILED,
2975,405202427C,Queens,4,05,405,QN 05,C, ,27,Transit Infrastructure,Rehabilitate bridges,"RECONSTRUCT AND WIDEN THE EAST SIDE OF 80TH STREET, ON THE 80TH STREET BRIDGE, OVER THE LIRR, IN GLENDALE AND REVIEW THE STRUCTURAL STABILITY OF THE BRIDGE   Pedestrians have to walk a narrow sidewalk to get to and from the Atlas Park Shopping Center. The roadway over the 80th Street Bridge in Glendale should be wide enough to allow sidewalk expansion, and reduce dangerous conditions for pedestrians.",Street Name: 80 street    Cross Street 1: Cooper Avenue  Cross Street 2: 78 Avenue,,80 street,80 street,Cooper Avenue,78 Avenue,Glendale Property Owners Association,,,DOT,841,8,Please contact the Borough Commissioner's office to discuss this request.,GEOCODING FAILED,
3074,405202404C,Queens,4,05,405,QN 05,C, ,04,Traffic and traffic flow,"Improve traffic and pedestrian safety, including traffic calming","MAKE CAPITAL IMPROVEMENTS TO IMPROVE PEDESTRIAN AND VEHICLE SAFETY ON GRAND AVENUE AT 69 STREET, AT THE GRAND AVENUE/LIE EASTBOUND SERVICE ROAD, AND AT THE 69 STREET/LIE SERVICE ROAD INTERSECTIONS IN MASPETH   Studies have been conducted but physical improvements have still not been performed to improve pedestrian and vehicular safety at several Maspeth intersections. The most dangerous of these are: Grand Avenue at 69th Street, Grand Avenue at the LIE Eastbound Service Road and 69th Street at the LIE Service Roads.",Street Name: Grand Ave    Cross Street 1: 69th Street  Cross Street 2: LIE Service Roads,,Grand Ave,Grand Ave,69th Street,LIE Service Roads,Maspeth Chamber of Commerce,,,DOT,841,7,Please contact the Borough Commissioner's office to discuss this request.,GEOCODING FAILED,
2432,309202457C,Manhattan,1,09,109,MN 09,C, ,57,"Library facilities, equipment and programs (NYPL)",Other capital budget request for NYPL,Provide funds to maintain heating and cooling systems at the George Bruce and Hamilton Grange Libraries,,,,,,,,,,NYPL,37,1,This request includes more than one proposal.  Funding for part is recommended.,NO LOCATION DATA,
2205,306202413C,Manhattan,1,06,106,MN 06,C, ,13,Transit Infrastructure,"Provide a new or expanded park or amenity (i.e. playground, outdoor athletic field)","The Department of City Planning confirms our district has ?the lowest amount of open space per capita of Manhattan community districts?. Still, our district has underutilized land that should be repurposed as park space. There's 276,000 sq ft of privately-owned land at 38th & 1st Avenue that has sat vacant for over a decade; there are two prime City-owned waterfront spaces at 34th Street: an 11,000 sq ft property that is currently used as a parking lot and a 40,000 sq ft heliport that adversely impacts the quality of life of nearby residents and was the origin of the helicopter that crashed into a midtown office building on June 10, 2019, killing the pilot. There?s approximately 25,000 sq ft of City-owned waterfront space at 30th Street that is only used intermittently as a party venue.",Street Name: 34th Street & the FDR,,34th Street & the FDR,34th Street the FDR,,,,,,DPR,846,8,Contact the Community Board Unit at OMB for information regarding this request.,GEOCODING FAILED,
2287,308202406C,Manhattan,1,08,108,MN 08,C, ,06,Services for the homeless,Install streetscape improvements,Resurface the bike lanes on the Roosevelt Island Bridge to improve safety for bicyclists,,,,,,,,,,DOT,841,9,Project has been completed; please remove from future Budget Requests.,NO LOCATION DATA,
2206,306202413E,Manhattan,1,06,106,MN 06,E,site,13,Community board facilities and staff,Other expense budget request for NYPL,"In previous years we have asked for additional electronic assets for libraries and staffing increases. The City did respond with some additional funding and the Branches in our district have told us they do not need an increase at this time even to make internal renovations for social distancing, However, the funding has not been baselined in the budget making reliance on future amounts precarious. We ask that the budget for NYPL and particularly for the branches in our district be baselined and then increased to address upgrades to resources when budgets allow.",,,,,,,,,,NYPL,37,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,NO LOCATION DATA,
2215,306202418C,Manhattan,1,06,106,MN 06,C, ,18,Housing oversight and emergency programs,Other transit infrastructure requests,"Numerous express buses that originate in the outer boroughs end their routes in or near Manhattan Community District 6. However, these buses have no suitable parking options and therefore park in our district's streets, taking away parking spaces from residents and blocking bus lanes. Residents frequently complain about express buses parking along 34th and 57th Streets, and in the 2nd Avenue bus lane. CB6 has passed resolutions in support of finding layover locations for these buses. A bus depot or other solution will remove obstructions from our bus lanes and increase parking availability.",,,,,,,,,,NYCTA,998,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
2207,306202414C,Manhattan,1,06,106,MN 06,C, ,14,Services for homebound older adults,Rehabilitate bridges,"Waterside Plaza has an existing pedestrian bridge at East 25th Street which should be modified to allow handicap access at its western end. The agency should also work with Waterside to make sure that resident concerns are addressed including the installation of safer surfaces that reduce problems in snow and rain, improved lighting and other safety issues. It is our understanding that the project is in the Ten-Year Plan. However, we are concerned that this project will continue to be deferred and want to express our interest in having the project be completed. When we are certain the project is securely in the plan, we will shift this item to Continued Support.",,,,,,,,,,DOT,841,9,This project is included in the ten-year plan.,NO LOCATION DATA,
2208,306202414E,Manhattan,1,06,106,MN 06,E, ,14,Transit Infrastructure,Other traffic improvement requests,"For each of the past several years, well over 1,000 calls about street conditions have been made to 311 in Manhattan Community District 6. Given this fact, robust paving personnel is necessary to repair roads in poor condition as well as keep roads in good condition. Having more paving crews would also prevent lane closures, improve traffic in spots, and avoid damage to cars, trucks and city vehicles due to potholes and sinkholes.",,,,,,,,,,DOT,841,1,Please contact the Borough Commissioner with the specific location(s) of concern.,NO LOCATION DATA,
2453,310202407C,Manhattan,1,10,110,MN 10,C,site,07,"Library facilities, equipment and programs (NYPL)",Other capital budget request for NYPL,Schomburg Center $7.9M Envelope rehabilitation and window replacement,Site Name: Schomburg Center for Research in Black Culture;   Street Name: 515 Malcolm X Blvd.,Schomburg Center for Research in Black Culture,515 Malcolm X Blvd.,Malcolm X Blvd.,,,,,,NYPL,37,1,This project was funded in a prior fiscal year and the scope is now underway.,geosupport_1B_address,0104000020E6100000010000000101000000D95EDD91387C52C05E89838346684440
2482,310202421E,Manhattan,1,10,110,MN 10,E,site,21,Educational programs,Other expense budget request for DOE,Provide laptop carts with Chrome books for 3rd- through 5th-grade students and iPads for K-2 students,"Site Name: Ps 200 James Mccune Smith;   Street Name: 2589 A C Powell Boulevard, Manhattan, New York, NY",Ps 200 James Mccune Smith,"2589 A C Powell Boulevard, Manhattan, New York, NY",A C Powell Boulevard,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,geosupport_1B_address,0104000020E6100000010000000101000000291EDC0CE27B52C0E88AC07E76694440
3538,413202414E,Queens,4,13,413,QN 13,E, ,14,NYPD facilities and equipment,Conduct traffic or parking studies,Additional funding to this agency so  traffic studies can be conducted more expeditiously. This district has high needs for traffic calming.,,,,,,,,,,DOT,841,7,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
3592,414202424C,Queens,4,14,414,QN 14,C, ,CS,Programs to address other public health issues,Provide a new or expanded health care facility,Provide funding for the expansion of St Johns Hospital,Site Name: ST Johns Hospital,ST Johns Hospital,,,,,,,,HHC,819,6,This is not in the City's budget jurisdiction.  Contact OMB's Community Board Unit.,GEOCODING FAILED,
3618,501202409E,SI,5,01,501,SI 01,E,general,09,Literacy Programs,Other educational programs requests,Other educational programs requests - fund visual arts and performance programming,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
3697,503202404E,SI,5,03,503,SI 03,E, ,04,Sanitation Enforcement,Other enforcement requests,Increase/maintain funding for cleaning services Mobile Litter Patrol ?MLP? We have a litter epidemic; our streets are filthy. Ignoring the existence of litter will only serve to increase the trash.,,,,,,,,,,DSNY,827,7,Submission contains multiple requests which agency cannot appropriately address with a single response code.,NO LOCATION DATA,
2777,401202433C,Queens,4,01,401,QN 01,C, ,CS,Garbage collection and recycling,Other capital budget request for DOE,DOE - Implement the Childrens Seat Belts Safety School Bus Ride Requirement,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
551,109202455C,Bronx,2,09,209,BX 09,C, ,55,Facilities for the homeless,Reconstruct streets,Reconstruction of sidewalk and street on Bronx River Ave and Rosedale.  Street is sinking,,,,,,,,,,DOT,841,8,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",NO LOCATION DATA,
41,102202403C,Bronx,2,02,202,BX 02,C, ,03,NYPD staff and training resources,Provide more housing for extremely low and low income households,There is a need for affordable housing for single low income and middle income individuals.,,,,,,,,,,HPD,806,3,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
577,110202411C,Bronx,2,10,210,BX 10,C, ,11,Traffic and traffic flow,Reconstruct streets,Please consider reconstructing sinking roadways of Sampson Avenue between Calhoun Avenue and Quincy Avenue.,,,,,,,,,,DOT,841,8,This location needs to be investigated by both DOT and DEP. Results may merit the initiation of a Capital project. We will advise upon completion of investigation.,NO LOCATION DATA,
1674,217202402C,Brooklyn,3,17,317,BK 17,C, ,02,FDNY programs and staffing,Provide more housing for seniors,CB 17 has a large senior population. Seniors are on a fixed income and need affordable housing.,,,,,,,,,,HPD,806,3,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
3647,501202426C,SI,5,01,501,SI 01,C, ,26,Transportation infrastructure,"Provide new emergency vehicles, such as fire trucks or ambulances",For use in natural emergencies or terrorism activities.,,,,,,,,,,FDNY,57,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
208,105202409E,Bronx,2,05,205,BX 05,E, ,09,Senior center programs,Other NYPD facilities and equipment requests,"Feasibility Study for the Expansion of the Existing 46th Precinct.  Increase in personnel has made it extremely crowded in this old dilapidated and archaic building. This situation must be improved not only for the working police officers, but also for the surrounding community.",Site Name: 46th Precinct,46th Precinct,,,,,,,,NYPD,56,8,NYPD will formally request OMB to allow the Department of Citywide Administration Services (DCAS) to conduct a survey of available properties.,geosupport_1B_place,0104000020E6100000010000000101000000ECE631889B7952C035D029754E6D4440
2281,308202403C,Manhattan,1,08,108,MN 08,C, ,03,Animal and pest control services,Other capital budget request for DEP,Fund resiliency investments to protect Community District 8 against future storms.,,,,,,,,,,DEP,826,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
2284,308202404E,Manhattan,1,08,108,MN 08,E,site,04,"Park, buildings, and access improvements",Animal and pest control requests including reducing rat and mosquito populations,Increase funding for rodent extermination on city streets and in the parks,,,,,,,,,,DOHMH,816,7,This is a very broad request. Please contact DOHMH to discuss further.,NO LOCATION DATA,
2318,308202421E,Manhattan,1,08,108,MN 08,E,general,21,Elder abuse programs,Hire additional traffic enforcement agents,Provide additional funding to expand the Truck Traffic Enforcement Unit.,,,,,,,,,,NYPD,56,3,"Based on the latest budget, the NYPD has a specific budgeted headcount.  The agency is working on filling vacancies in order to get to that headcount.",NO LOCATION DATA,
2370,309202422C,Manhattan,1,09,109,MN 09,C,site,22,Public housing upgrades or renovations,Other affordable housing programs requests,Allocate funding for low-interest loans for HDFC's and low/moderate-income homeowners to be used for repairs and facility upgrades.,,,,,,,,,,HPD,806,2,This request includes more than one proposal.  Funding for part is recommended.,NO LOCATION DATA,
2409,309202441E,Manhattan,1,09,109,MN 09,E, ,41,Direct business services,Other expense budget request for EDC,Maintain funding for job training and placement for adults within CD9,,,,,,,,,,EDC,802,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
2412,309202443C,Manhattan,1,09,109,MN 09,C, ,43,Healthy lifestyles programs,Provide WiFi and tablets to low income seniors.,Allocate funding for WiFi and tablet/laptops for low-income seniors isolated by the COVID-19 pandemic and the digital divide in New York.,,,,,,,,,,DFTA,125,3,Approval of this request depends on sufficient Federal/State funds.,NO LOCATION DATA,
3596,414202426C,Queens,4,14,414,QN 14,C, ,CS,Elder abuse programs,Invest in capital projects to improve access to waterfront,build ferry docks/piers and parking for two ferry locations one on east side of district one on west side of district,,,,,,,,,,EDC,802,6,This request is not recommended for funding.,NO LOCATION DATA,
2413,309202443E,Manhattan,1,09,109,MN 09,E, ,43,"Library facilities, equipment and programs (NYPL)",Other transit service requests,Provide funds for a feasibility study to improve speeds on all bus lines within CD9.,,,,,,,,,,NYCTA,998,10,More information is needed from the community board before making a funding decision. The community board should contact the agency.,NO LOCATION DATA,
2414,309202444C,Manhattan,1,09,109,MN 09,C, ,44,"Public housing maintenance, staffing and management","Create a new, or renovate or upgrade an existing public library (NYPL)",Provide funds to replace windows with energy efficient windows at Hamilton Grange Library.,,,,,,,,,,NYPL,37,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
2428,309202453C,Manhattan,1,09,109,MN 09,C, ,53,"Park, buildings, and access improvements",Provide more housing for seniors,Provide funding to construct more affordable Senior housing within CD9,,,,,,,,,,HPD,806,3,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
23,101202412C,Bronx,2,01,201,BX 01,C, ,12,Garbage collection and recycling,Other capital budget request for NYPL,"Increased expense funding, so libraries in every neighborhood can help rebuild a more equitable New York, including technology access for families in all libraries.",,,,,,,,,,NYPL,37,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,NO LOCATION DATA,
2,101202401E,Bronx,2,01,201,BX 01,E,general,01,"Library facilities, equipment and programs (NYPL)","Extend library hours, expand library programs, and enhance library collections (NYPL)","Increase Funding for New York Public Library Services in the District. In order to provide the opportunity for district children and youth to fully participate in the New York Public library's many services, funding for the Mott Haven and Woodstock branches needs to be increased to allow for all libraries to be open six days and at least forty-two hours a week. The New York Public Library and Community Board One request that the City restore funding to provide robust six day service including increased hours, diverse programming, strong collections and sufficient staff to support these functions. In these challenging economic times, the services provided through the Library are needed by New Yorkers more than ever. (Previous Tracking Codes: 101200801E)",,,,,,,,,,NYPL,37,3,NYPL is in favor of this project but added or restored City funding is required for all expense budget costs and any needed capital costs.  NYPL will continue to work through the City's budget process for needed funding. Contact NYPL for more information.,NO LOCATION DATA,
24,101202412E,Bronx,2,01,201,BX 01,E, ,12,"Library facilities, equipment and programs (NYPL)",Other garbage collection and recycling requests,"Maintaining and increasing the Mobilized Litter Patrol (MLP) service, they address illegal drop-off and dump-out conditions.",,,,,,,,,,DSNY,827,3,This program is currently funded and the Department of Sanitation recommends its continued support.,NO LOCATION DATA,
268,106202406E,Bronx,2,06,206,BX 06,E,street,06,Transportation infrastructure,Other programs to address public health issues requests,Expand funding for Cure Violence programming in CB6.,,,,,,,,,,DOHMH,816,6,Please contact the Mayors Office of Community Mental Health directly.,NO LOCATION DATA,
2496,310202433C,Manhattan,1,10,110,MN 10,C, ,33,Affordable housing programs,Provide more housing for medium income households,Provide more housing for medium income households,,,,,,,,,,HPD,806,1,The agency will accommodate this issue within existing resources.,NO LOCATION DATA,
2673,312202446E,Manhattan,1,12,112,MN 12,E, ,46,Commercial district revitalization,"Enhance park safety through design interventions, e.g. better lighting",Repair sinkholes in Ft. Washington Park pathways from Haven Ave.,,,,,,,,,,DPR,846,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
528,109202440C,Bronx,2,09,209,BX 09,C,site,40,"Park, buildings, and access improvements",Other capital budget request for DOE,Request for more adequate number of teachers to students,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
360,108202406C,Bronx,2,08,208,BX 08,C, ,06,Educational programs,Reconstruct streets,Rehabilitate step streets   Broadway Between W 231 St. & W 233 St.  W 231 between Sedgwick Ave & Kingsbridge Ave,,,,,,,,,,DOT,841,5,"Capital funding constraints, project capacity and City-wide priorities preclude this project at this time.",NO LOCATION DATA,
2294,308202409E,Manhattan,1,08,108,MN 08,E, ,09,Affordable housing programs,Other community board facilities and staff requests,"Increase funding for community boards to support and retain staff, and pay staff fairly.",,,,,,,,,,OMB,2,8,"As of the FY 2024 Preliminary Budget, each Community Board's budget is $257,507.",NO LOCATION DATA,
2629,312202424E,Manhattan,1,12,112,MN 12,E, ,24,Educational programs,Improve trash removal and cleanliness,Add recycling collection and more trash receptacles in parks.,,,,,,,,,,DPR,846,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
411,108202431E,Bronx,2,08,208,BX 08,E, ,31,Senior center programs,Other expense budget request for DCA,SBS/DCWP- Funding for Financial Literacy Education Programs: targeted at CB8 small businesses,,,,,,,,,,DCA,866,9,Further study by the agency of this request is needed.,NO LOCATION DATA,
2134,305202409E,Manhattan,1,05,105,MN 05,E, ,09,Criminal justice,Support local CBO's efforts to provide or expand retail attraction and retention assistance,"Establish a legacy business registry and preservation fund, allocate funds to support legacy businesses within the city.",,,,,,,Furman Center,,,SBS,801,8,Further study by the agency of this request is needed.,NO LOCATION DATA,
527,109202439E,Bronx,2,09,209,BX 09,E,site,39,Public housing upgrades or renovations,Animal and pest control requests including reducing rat and mosquito populations,Re-painting of common areas needed,Site Name: Sack Wern Houses,Sack Wern Houses,,,,,,,,NYCHA,996,1,The agency will try to accommodate this issue within existing resources.,geosupport_1B_place,0104000020E6100000010000000101000000530438BD8B7752C0546EA296E6684440
3616,501202408E,SI,5,01,501,SI 01,E, ,08,After school programs,"Provide, expand, or enhance preventive services and community based alternatives for youth","Provide, expand, or enhance preventive services and community based alternatives for youth - provide sufficient funding for youth development and delinquency prevention programs.",,,,,,,,,,ACS,68,9,"ACS currently offers services for youth and families. Please contact the Office of Intergovernmental Affairs for additional information at 212-341-0999, or check our website at www.nyc.gov/acs.",NO LOCATION DATA,
2295,308202410C,Manhattan,1,08,108,MN 08,C, ,10,Transportation infrastructure,Other affordable housing programs requests,"Provide more affordable housing for all income very low, low, and middle income New Yorkers.",,,,,,,,,,HPD,806,3,The agency will try to accommodate this issue within existing resources.,NO LOCATION DATA,
2330,309202402C,Manhattan,1,09,109,MN 09,C,site,02,Affordable housing programs,Provide technology upgrade,Ensure all schools and students in CB9 have laptops and WiFi to allow for remote teaching/learning.,,,,,,,,,,DOE,40,8,Contact the Community Board Unit at OMB for information regarding this request.,NO LOCATION DATA,
4,101202402E,Bronx,2,01,201,BX 01,E, ,02,NYPD staff and training resources,Hire additional uniformed officers,"Provide and assign more Police Officers to the 40th Police Precinct and to the Police Service Area 7 of the Housing Bureau as well as the Transit Police.    Due to the proliferation of illegal gun possession and rise in shootings and homicides in our streets and Housing Authority Developments, there is a need for more police presence within the 10 sectors of the 40th Precinct. Additionally, there is a need for more officers to enforce truck traffic and double-parking.",,,,,,,,,,NYPD,56,5,NYPD's total uniformed staffing levels depend on decisions made in the Preliminary and Executive Budget process.  Allocation of uniformed personnel is scheduled by the agency only after graduation of police classes from the Academy.,NO LOCATION DATA,
5,101202403C,Bronx,2,01,201,BX 01,C,general,03,Foster care and child welfare,Repair or provide new street lights,"Upgrade illumination on existing street lighting in the District.    Street lighting throughout the entire District at night does not appear to be providing the proper illumination to support public safety.  The Board requests for an upgrade ad increase in foot-candles on the existing lamp poles, including within all pedestrian underpasses in the District.",,,,,,,,,,DOT,841,5,"Wattage/lumen changes of street lights are not permissible.  The number of street lights can only be increased if the request is accompanied by funding to cover all equipment and construction costs and a Maintenance Agreement is signed with a City Chartered organization willing and able to pay for the associated maintenance cost of electricity, repairs, etc. - i.e. Business Improvement District.",NO LOCATION DATA,
819,203202426E,Brooklyn,3,03,303,BK 03,E,street,26,Traffic and traffic flow,Other expense budget request,"The Board requests the installations of 100 new canine waste bag dispensers, that are regularly refilled, around CB3.",,,,,,,,,,DPR,846,5,This would require a larger expense budget.,NO LOCATION DATA,
485,207202424C,Brooklyn,3,07,307,BK 07,C,general,24,"Library facilities, equipment and programs (NYPL)","Reconstruct or upgrade a park or amenity (i.e. playground, outdoor athletic field)","Rehabilitate Plascencia Park, including higher fences to prevent damage to surrounding homes",,,,,,,,,,DPR,846,5,This project has not been funded.,NO LOCATION DATA,
486,207202424E,Brooklyn,3,07,307,BK 07,E, ,24,Health and safety inspections,"Forestry services, including street tree maintenance",Increase funding for tree planting and pruning district-wide in order to expedite schedule,,,,,,,,,,DPR,846,3,This project has not been funded.,NO LOCATION DATA,
149,106202402E,Bronx,2,06,206,BX 06,E, ,02,Commercial district revitalization,Provide or expand occupational skills training programs,"SBS needs to expand the scope and quality of services offered at Workforce 1 centers, focusing on building skills and training for careers.",,,,,,,,,,SBS,801,8,Feedback will be used for future programs,NO LOCATION DATA,
3476,412202407C,Queens,4,12,412,QN 12,C, ,07,Transportation infrastructure,"Improve traffic and pedestrian safety, including traffic calming",New street lights to be installed at the corner of Archer Ave and 153 Street,,,,,,,,,,DOT,841,8,Please contact the Borough Commissioner's office to discuss this request.,NO LOCATION DATA,
1028,207202425E,Brooklyn,3,07,307,BK 07,E, ,25,Street and lot cleaning,Other cleaning requests,Allocate additional personnel for manual street sweeping in CD 7 and/or implementation of the Clean Curbs program for schools,,,,,,,,,,DSNY,827,7,Submission contains multiple requests which agency cannot appropriately address with a single response code.,NO LOCATION DATA,
