address,agency,bbl,bin,borough,bridgeid,category,description,mappable,maprojid,origin,parkid,parkname,zipcode
89-17 SUTPHIN BLVD,OCA,,,Queens,, Fixed Asset, 89-17 SUTPHIN BLVD.- CHILLER REPLACEMENT                     ,Yes - Single Building,856CO299CHIL,unmapped,,,
88-11 SUTPHIN BLVD,OCA,,,Queens,, Fixed Asset, 88-11 SUTPHIN BOULEVARD - ROOF                               ,Yes - Single Building,856CO300RF,unmapped,,,
60 CENTRE ST,OCA,,,Manhattan,, Fixed Asset, 60 CENTRE ST. BASEMENT AREA RECONSTRUCTION                   ,Yes - Single Building,856CO304BASE,unmapped,,,
31 CHAMBERS ST,OCA,,,Manhattan,, Fixed Asset, 31 CHAMBERS ST.- EXTERIOR                                    ,Yes - Single Building,856CO81EXTR,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS PUBLIC BUILDINGS - COURTS HVAC UPGRADES              ,No - Can never be mapped,856CO-HVAC,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS PUBLIC BUILDINGS - COURTS LOCAL LAW 11               ,No - Can never be mapped,856CO-LL11,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS PUBLIC BUILDINGS - COURTS FIRE/LIFE SAFETY           ,No - Can never be mapped,856CO-LL5,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS PUBLIC BUILDINGS - COURTS FIRE SUPPRESSION           ,No - Can never be mapped,856CO-LL5FS,unmapped,,,
,OCA,,,,,Lump Sum, VARIOUS PUBLIC BUILDINGS - COURTS ROOF UPGRADES              ,No - Can never be mapped,856CO-ROOF,unmapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",JEWISH CHILD CARE ASSOCIATION - TECHNOLOGY UPGRADE,,850CSDNJEWSH,mapped,,,
,ACS,,,,,,ACS 150 William St Backfill,,856ACSWLM,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",INWOOD HOUSE - FUNITURE AND EQUIPMENT,,850CSDWOOD,mapped,,,
,ACS,,,,,Fixed Asset,NORTHSIDE CTR FOR CHILD DEVELOPMENT HEAD START,,850CSCN500NS,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",NORTHSIDE CENTER FOR CHILD DEVELOPMENT - PHONE SYSTEM,,850CSDNNORTH,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",Northside Center for Child Development - Technology,,850CSDNNSIDE,mapped,,,
,ACS,,,,,Fixed Asset,Child Care Center Renovations,,068CCRENOV,mapped,,,
,ACS,,,,,Fixed Asset,ECDO DAY CARE CENTER FOR RENOVATION,,801CSCN8ECDO,mapped,,,
,ACS,,,,,Fixed Asset,FA - Mid-Bronx Childcare/Community Center,,806CSXN017CC,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",TREMONT CROTONA DAY CARE COMPUTER EQUIP,,068CSCN007TC,mapped,,,
,ACS,,,,,Fixed Asset,Northside Center for Child Development - SECUTITY SYSTEM,,850CSDNNCC62,mapped,,,
,ACS,,,,,Fixed Asset,AUDREY JOHNSON DAY CARE CENTER COMPUTER LAB,,850CSD999ADC,mapped,,,
,ACS,,,,,Fixed Asset,THE GUILD FOR EXCEPTIONAL CHILDREN RENOVATION TO MAIN BUILD,,801CSGFEC,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",JEWISH CHILD CARE ASSOCIATION OF NY - PHONE SYSTEM,,850CSDNCHILD,mapped,,,
,ACS,,,,,Fixed Asset,THE CROSSROADS JUVENILE CENTER - LIBRARY RENOVATION,,068JJZROSSLB,mapped,,,
,ACS,,,,,Fixed Asset,FACIILITY RENOVATIONS AT CROSSROADS JC,,850CJCREN,mapped,,,
,ACS,,,,,"ITT, Vehicles, and Equipment",JEWISH CHILD CARE ASSOCIATION - TECHNOLOGY UPGRADE,,850CSDNJEWIS,mapped,,,
,ACS,,,,,Fixed Asset,JCCA FOREST HILL DAY CARE CENTER,,850PWQJCCA,mapped,,,
,ACS,,,,,Fixed Asset,Lifeline Center for Child Development,,801CSDPLAY,mapped,,,
,ACS,,,,,Fixed Asset,LIFELINE CENTER FOR CHILD DEVELOPMENT RENOVATIONS,,801CSLIFELIN,mapped,,,
,ACS,,,,,Fixed Asset,SAFE SPACE NYC - INITIAL OUTFITTING,,850CSQNSPACE,mapped,,,
,ACS,,,,,Lump Sum,GREATER RIDGEWOOD YOUTH COUNCIL - SITE ACQUISITION,,801CSGRIDGE,mapped,,,
,ACS,,,,,Lump Sum,GREATER RIDGEWOOD YOUTH COUNCIL COMMUNITY CENTER,,801GRIDGEYCC,mapped,,,
,ACS,,,,,Fixed Asset,Lucille Rose Day Care and Rockaway HeadStart,,068LUCILLE,mapped,,,
560 Brook Avenue,ACS,,,Bronx,, , SECURITY SITE EMERGENCY PREPAREDNESS                         ,,068EMPREP,unmapped,,,
17 BRISTOL ST,ACS,,,Brooklyn,,,,,068EMPREP,unmapped,,,
150 William Street,ACS,,,Manhattan,, Fixed Asset, PC REPLACEMENT                                               ,,068ACSPCR,unmapped,,,
1101-03 Beach Avenue,ACS,,,Bronx,, Fixed Asset, Replacement Site for Beach Non-Secure Detention Site         ,,068BEACHREP,unmapped,,,
,ACS,,,,, Fixed Asset, Renovation of GFEC's Residence Building                      ,No - Can be in future,068CSGFECM,unmapped,,,
108 Pine Street,ACS,,,Brooklyn,, Fixed Asset, Acquisition of Property &Construction of a Child Care Cente  ,,068CYPRESSC,unmapped,,,
,ACS,,,,, Fixed Asset, Goodhue Pool Renovation                                      ,No - Can be in future,068GOODPOOL,unmapped,,,
,ACS,,,,, Fixed Asset, Acquisition of space                                         ,No - Can be in future,068HOURCHI,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset, Adolescent Facility                                          ,,068JJCONS,unmapped,,,
150 William Street,ACS,,,Manhattan,, Fixed Asset, FABRIC- ATTACHED STORAGE SYSTEMS ( FAS )                     ,,068FASS,unmapped,,,
See attached report-Adminstrative Sites-City Leased.,ACS,,,NYC,, Fixed Asset, CHILD WELFARE FACILITIES FUTURE PROJECTS                     ,Yes - Multi-site,068CWFFP,unmapped,,,
2340 Cambreleng Avenue,ACS,,,Bronx,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
510 West 145 Street,ACS,,,Manhattan,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
384 South 4th Street,ACS,,,Brooklyn,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
1435 Prospect Place,ACS,,,Brooklyn,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
1638 Anthony Avenue,ACS,,,Bronx,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
851 Liberty Avenue,ACS,,,Brooklyn,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
966-972 Fulton Street,ACS,,,Brooklyn,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
109-45 207th Street,ACS,,,Queens,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
565 Livonia Avenue,ACS,,,Brooklyn,, Fixed Asset, Renovation for city leased child care sites.                 ,,068CCREN,unmapped,,,
492 1st Avenue,ACS,,,Manhattan,, Fixed Asset, Children's Center High Needs Unit                            ,,068NSCC,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset, FACILITIES RENOVATIONS                                       ,,850JJ1FACREN,unmapped,,,
,ACS,,,,, Fixed Asset, FORESDALE- NEW TEACHING KITCHEN                              ,No - Can be in future,801KITCHEN,unmapped,,,
1157 DUMONT AVENUE,ACS,,,Brooklyn,, Fixed Asset,1157 DUMONT AVENUE,,068DUMONT,unmapped,,,
See attached report-Day Care Centers-City Leased,ACS,,,NYC,, Fixed Asset,Day Care Renovation,,068 DCSTRUC,unmapped,,,
595 CLINTON AVENUE,ACS,,,Brooklyn,, Fixed Asset,595 CLINTON AVENUE-FY 2016,,068CLINTON,unmapped,,,
260 E. 161 Street,ACS,,,Bronx,, Fixed Asset,Acs Move To 260 East 161 Street,,856 CS5YFJX,unmapped,,,
492 1st Avenue,ACS,,,Manhattan,, Fixed Asset,Children's Center Generator,,068 CCGEN,unmapped,,,
150 William Street,ACS,,,Manhattan,, Fixed Asset,150 William Street Restacking Floors,,068 150RESTAK,unmapped,,,
See attached report-Adminstrative Sites-City Leased.,ACS,,,NYC,, Fixed Asset,Renovation projects for field offices,,068 ACSPDF,unmapped,,,
See attached report-Adminstrative Sites-City Leased.,ACS,,,NYC,, Fixed Asset,Furniture Purchases,,068 CSFURN,unmapped,,,
150 William Street,ACS,,,Manhattan,, Fixed Asset,ACS 150 William St Backfill,,856 ACSWLM,unmapped,,,
215 E. 161 Street,ACS,,,Bronx,, Fixed Asset,Dasny - 215 E. 161St St.- Backfill,,856 CO294BACK,unmapped,,,
92-31 Union Hall Street aka 162-10 Jamaica Avenue,ACS,,,Queens,, Fixed Asset,Union Hall Workforce Institute,,068 UNIONHALL,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset,Secure Passenger Vans,,068 JJFLEET,unmapped,,,
17 BRISTOL ST,ACS,,,Brooklyn,, Fixed Asset,,,69 JJFLEET,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset,Facilities Renovations,,068 JJCONS,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset,System Upgrades Horizon And Crossroads,,068 SYSUPGRAD,unmapped,,,
17 BRISTOL ST,ACS,,,Brooklyn,, Fixed Asset,,,69 SYSUPGRAD,unmapped,,,
560 Brook Avenue,ACS,,,Bronx,, Fixed Asset,Secure Detention Equipment,,068 SDEQUIP,unmapped,,,
17 BRISTOL ST,ACS,,,Brooklyn,, Fixed Asset,,,,unmapped,,,
10 EASTERN PARKWAY,BPL,,,BROOKLYN ,, Fixed Asset, CENTRAL LIBRARY RENOVATION - PHASE 1                         ,Yes - Single Building, 038LBCENPH1  ,unmapped,,,11238.0
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Roof Replacements                               ,No - Can never be mapped, 038LBC11SWRF ,unmapped,,,
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Renovation/Rehab/Acquisition/Initial Outfittin  ,No - Can never be mapped, 038LBEM05SWR ,unmapped,,,
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Heating and Cooling                             ,No - Can never be mapped, 038LBC11SWHC ,unmapped,,,
,BPL,,,,, , BHLS CAPITAL UPGRADES                                        ,No - Can never be mapped, 038LBM18BHLS ,unmapped,,,
,BPL,,,,, Fixed Asset, SANDY DAMAGES - BPL                                          ,No - Can never be mapped, 038SANDYLBLS ,unmapped,,,
1702 60TH ST,BPL,,,BROOKLYN ,, Fixed Asset, MAPLETON GARDEN RENOVATION                                   ,Yes - Single Building, 850LBC17MPGD ,unmapped,,,11204.0
25 Fourth Avenue,BPL,,,Brooklyn,, Fixed Asset, PACIFIC LIFE & FIRE SAFETY                                   ,Yes - Single Building, 850LBC17PCFS ,unmapped,,,11217.0
,BPL,,,,, Fixed Asset, 038 CONVERSION PROJECT                                       ,No - Can never be mapped, 038CONVERTED ,unmapped,,,
10 EASTERN PARKWAY,BPL,,,BROOKLYN ,, Fixed Asset, CENTRAL LIBRARY RENOVATION - PHASE 1                         ,Yes - Single Building, 038LBCENPH1  ,unmapped,,,11238.0
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Roof Replacements                               ,No - Can never be mapped, 038LBC11SWRF ,unmapped,,,
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Renovation/Rehab/Acquisition/Initial Outfittin  ,No - Can never be mapped, 038LBEM05SWR ,unmapped,,,
,BPL,,,,, Fixed Asset, SYSTEMWIDE - Heating and Cooling                             ,No - Can never be mapped, 038LBC11SWHC ,unmapped,,,
,BPL,,,,, , BHLS CAPITAL UPGRADES                                        ,No - Can never be mapped, 038LBM18BHLS ,unmapped,,,
,BPL,,,,, Fixed Asset, SANDY DAMAGES - BPL                                          ,No - Can never be mapped, 038SANDYLBLS ,unmapped,,,
1702 60TH ST,BPL,,,BROOKLYN ,, Fixed Asset, MAPLETON GARDEN RENOVATION                                   ,Yes - Single Building, 850LBC17MPGD ,unmapped,,,11204.0
25 Fourth Avenue,BPL,,,Brooklyn,, Fixed Asset, PACIFIC LIFE & FIRE SAFETY                                   ,Yes - Single Building, 850LBC17PCFS ,unmapped,,,11217.0
,BPL,,,,, Fixed Asset, 038 CONVERSION PROJECT                                       ,No - Can never be mapped, 038CONVERTED ,unmapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST. - 21st Floor Renovation                         ,Yes - Single Building,856PW771C21,mapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST. - 9th Floor Renovation                          ,Yes - Single Building,856PW771C09,mapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST.- 11TH FL. TAX COMMISSION REHAB                  ,Yes - Single Building,856PW77TAX,mapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST.- 15 FL CITYSTORE AND CITY GRAPHICS              ,Yes - Single Building,856PW19315A,mapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST.- 2ND FL. RENOVATIONS/SWING SPACE                ,Yes - Single Building,856PW77MU2,mapped,,,
,DCAS,,,,, Fixed Asset, 1 CENTRE ST.- NYC MEDIA FACILITY                             ,Yes - Single Building,856PW77FL25,mapped,,,
,DCAS,,,,, Fixed Asset, 10 RICHMOND TERR.- BOILER REPLACEMENT                        ,Yes - Single Building,856PW77501BL,mapped,,,
,DCAS,,,,, Fixed Asset, 100 GOLD ST.- ROOFTOP DAMPER REPLACEMENT                     ,Yes - Single Building,856PW77GLDDR,mapped,,,
,DCAS,,,,, Fixed Asset, 120-55 QUEENS BLVD- QUEENS BORO HALL RENOVATIONS-TOPOGRAPHY  ,Yes - Single Building,856PWQ77TOPO,mapped,,,
,DCAS,,,,, Fixed Asset, 125 WORTH ST.- ELEVATORS                                     ,Yes - Single Building,856PW266ELEV,mapped,,,
,DCAS,,,,, Fixed Asset, 125-01 QUEENS BLVD.- QUEENS FAMILY JUSTICE CENTER - NEW FAC  ,Yes - Single Building,856PW326DOM,mapped,,,
,DCAS,,,,, Fixed Asset, 137 CENTRE ST.- ELECTRICAL & HVAC UPGRADE                    ,Yes - Single Building,856PW77117F,mapped,,,
,DCAS,,,,, Fixed Asset, 137 CENTRE ST. Renovation                                    ,Yes - Single Building,856PW77137C,mapped,,,
,DCAS,,,,, Fixed Asset, 14 - 22 READE ST. - MIS ROOM                                 ,Yes - Single Building,856PW77CPHV,mapped,,,
,DCAS,,,,, Fixed Asset, 1932 ARTHUR AVE.- 6th FLOOR BUILDOUT                         ,Yes - Single Building,856PW772076,mapped,,,
,DCAS,,,,, Fixed Asset, 1932 ARTHUR AVE.- ELEVATORS                                  ,Yes - Single Building,856PW77207EV,mapped,,,
,DCAS,,,,, Fixed Asset, 1932 ARTHUR AVE.- ROOF                                       ,Yes - Single Building,856PW77207RF,mapped,,,
,DCAS,,,,, Fixed Asset, 1932 ARTHUR AVE.- WINDOWS AND FACADE                         ,Yes - Single Building,856PW77207W,mapped,,,
,DCAS,,,,, Fixed Asset, 198 E161 ST.- COOLING TOWER REPLACEMENT                      ,Yes - Single Building,856PW77198CT,mapped,,,
,DCAS,,,,, Fixed Asset, 2 LAFAYETTE ST.- COOLING TOWER                               ,Yes - Single Building,856PW80CT1,mapped,,,
,DCAS,,,,, Fixed Asset, 210 JORALEMON ST.- CONVERSION TO CIVIL/HOUSING               ,Yes - Single Building,856CO264BKC1,mapped,,,
,DCAS,,,,, Fixed Asset, 210 JORALEMON STR - BKLYN MUNI. BOILER CONTROL REPLACEMENT   ,Yes - Single Building,856PW325BC,mapped,,,
,DCAS,,,,, Fixed Asset, 22 READE ST.- 5th AND 6th FLOOR BUILDOUT                     ,Yes - Single Building,856PW7722R5,mapped,,,
,DCAS,,,,, Fixed Asset, 22 READE ST.- ELEVATOR MODERNIZATION                         ,Yes - Single Building,856PW7722REV,mapped,,,
,DCAS,,,,, Fixed Asset, 345 ADAMS ST.- SIDEWALK VAULT                                ,Yes - Single Building,856PW322102,mapped,,,
,DCAS,,,,, Fixed Asset, 4101 WHITE PLAINS RD - HVAC UPGRADE                          ,Yes - Single Building,856PW77208B,mapped,,,
,DCAS,,,,, Fixed Asset, 80 CENTRE ST.- FIRE ALARMS/SPRINKLERS                        ,Yes - Single Building,856PW29380FC,mapped,,,
,DCAS,,,,, Fixed Asset, 80 CENTRE ST.- ROOF REPLACEMENT                              ,Yes - Single Building,856PW195RF,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST LIGHTING UPGRADE,Yes - Single Building,856ENRG021,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - 16TH FLOOR OCA RELOCATION,Yes - Single Building,856CC1COCA1,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - CONSOLIDATION AND RESTACKING,Yes - Single Building,856PW193DCPS,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - FIRE ALARM,Yes - Single Building,856PW193ALM,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - FLR 2N FOR OPA,Yes - Single Building,856PW193OPA,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - HUMAN CAPITAL LONG BEACH,Yes - Single Building,856PW193LB,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST. - REPLACEMENT OF LOBBY FANS,Yes - Single Building,856PW193FANS,mapped,,,
,DCAS,,,,,Fixed Asset,"1 CENTRE ST. - SAFE ACCESS, REPLACEMENT OF CATWALKS",Yes - Single Building,856PW193SA,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- 8TH FL. COMPTROLLERS OFFICE RENOVATIONS,Yes - Single Building,856PW77MU8EL,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- BIG APPLE GREETER,Yes - Single Building,850PWD5BIG,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- BIG APPLE GREETER,Yes - Single Building,856PWD5BAG,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- BSA RELOCATION TO 9TH FLOOR,Yes - Single Building,856PW193BSA,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- MEZZANINE ELEVATOR,Yes - Single Building,850PW193MEZ2,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- PUBLIC ADVOCATE OFFICE,Yes - Single Building,856PW77PA16,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE ST.- REHAB AND FRICTIONLESS CHILLER MODERNIZATION,Yes - Single Building,856PW193CHL2,mapped,,,
,DCAS,,,,,Fixed Asset,"1 CENTRE ST., 13TH FL. - 21C3",Yes - Single Building,850CC1C13,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE STREET - FIRE SPRINKLERS,Yes - Single Building,856PW2931C,mapped,,,
,DCAS,,,,,Fixed Asset,1 CENTRE STREET- FACADE REHAB,Yes - Single Building,850PW3171C,mapped,,,
,DCAS,,,,,Fixed Asset,10 RICHMOND TERR.- 4TH FL DOT SPACE - A/C AND VENT,Yes - Single Building,856PW77501DT,mapped,,,
,DCAS,,,,,Fixed Asset,10 RICHMOND TERR.- RENOVATIONS,Yes - Single Building,856PWR077124,mapped,,,
,DCAS,,,,,Fixed Asset,10 RICHMOND TERRACE - FIRE ALARM,Yes - Single Building,856PW29310R,mapped,,,
,DCAS,,,,,Fixed Asset,10 RICHMOND TERRACE- ELECTRICAL UPGRADE,Yes - Single Building,856PW77501EL,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST. - CONSOLIDATION/RESTACK,Yes - Single Building,856PW77GLDRS,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST. - EXTERIOR RECONSTRUCTION,Yes - Single Building,856PW77GLDEX,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST. - HVAC,Yes - Single Building,856PW77GLDHA,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST. - ROOF RECONSTRUCTION,Yes - Single Building,856PW77GLDRF,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST. - SAFE ACCESS/CATWALK,Yes - Single Building,856PW77GLDSA,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD ST.- TENANT RELOCATION FROM 40 RECTOR,Yes - Single Building,856PW326RE40,mapped,,,
,DCAS,,,,,Fixed Asset,100 GOLD STREET- SPRINKLER UPGRADE,Yes - Single Building,856PW77100SP,mapped,,,
,DCAS,,,,,Fixed Asset,115 CHRYSTIE ST. - INTERIOR RENOVATIONS,Yes - Single Building,856PW77115CH,mapped,,,
,DCAS,,,,,Fixed Asset,125 WORTH ST.- ADA DOOR ACCESS,Yes - Single Building,856PW282125D,mapped,,,
,DCAS,,,,,Fixed Asset,125 WORTH ST.- CODE COMPLIANT TOILET UPGRADES,Yes - Single Building,856PW266TOIL,mapped,,,
,DCAS,,,,,Fixed Asset,125 WORTH ST.- EMER GEN - PRINTSHOP,Yes - Single Building,856PW266GEN,mapped,,,
,DCAS,,,,,Fixed Asset,125 WORTH STREET - FIRE ALARM -SPRINKLERS,Yes - Single Building,856PW293125D,mapped,,,
,DCAS,,,,,"ITT, Vehicles, and Equipment",137 CENTRE ST. - DCTV,Yes - Single Building,850PW77117D2,mapped,,,
,DCAS,,,,,Fixed Asset,137 CENTRE ST. - SAFE ACCESS,Yes - Single Building,856PW77117SA,mapped,,,
,DCAS,,,,,Fixed Asset,1932 ARTHUR AVE.- ELECTRICAL UPGRADES,Yes - Single Building,856PW77207EL,mapped,,,
,DCAS,,,,,Fixed Asset,1932 ARTHUR AVENUE- CODE COMPLIANT TOILET UPGRADES,Yes - Single Building,856PW77207TU,mapped,,,
,DCAS,,,,,Fixed Asset,198 E 161ST STREET - FIRE ALARM UPGRADE,Yes - Single Building,856PW293198X,mapped,,,
,DCAS,,,,,Fixed Asset,2 LAFAYETTE- 21C3,Yes - Single Building,856CC2LAF,mapped,,,
,DCAS,,,,,Fixed Asset,2 LAFAYETTE ST.- EXHAUST FAN INSTALLATION,Yes - Single Building,856PW80FAN,mapped,,,
,DCAS,,,,,Fixed Asset,2 LAFAYETTE STREET ELECTRICAL UPGRADE,Yes - Single Building,856PW80ELEC,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST. - BROOKYLN FAN COIL REPLACEMENT,Yes - Single Building,856PW325FC3,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST.- AC PLANT,Yes - Single Building,856PW325ACPT,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST.- BOILER RETUBING,Yes - Single Building,856PW325BL1,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST.- CODE COMPLIANT TOILET UPGRADES,Yes - Single Building,856PW325TU,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST. ELECTRICAL UPGRADE AND EMERGENCY GENERATO,Yes - Single Building,856PW325ELC3,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON ST.- REPLACEMENT OF CHILLED WATER SUPPLY,Yes - Single Building,856PW325PIPE,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON STREET - SAFE ACCESS,Yes - Single Building,856PW325SA,mapped,,,
,DCAS,,,,,Fixed Asset,210 JORALEMON STREET STABILIZATION,Yes - Single Building,856PW325STA3,mapped,,,
,DCAS,,,,,Fixed Asset,215 E161 ST.- OFFICE RENOVATIONS,Yes - Single Building,856PW77X215,mapped,,,
,DCAS,,,,,Fixed Asset,229th Street Community Center- Develop & Rehab Campus Groun,Yes - Single Building,856PWX229CC,mapped,,,
