facdb_level,facdb_agencyname_revised,facdb_agencyname,facdb_agencyabbrev,cape_agencycode,cape_agencyacronym,cape_agency,agency_class
City,NYC Office of the Actuary,New York City Office of the Actuary,NYCACT,,ACT,Office of the Actuary,
City,NYC Office of the City Clerk,New York City Office of the City Clerk,NYCCLERK,103,CLERK,Office of the City Clerk,City Clerk                              
City,NYC Office of the Comptroller,New York City Office of the Comptroller,NYCCOMP,015,COMP,Office of the Comptroller,Office of the Comptroller               
City,NYC Office of the Mayor,New York City Office of the Mayor,NYCMO,002,MO,Office of the Mayor,Mayoralty                               
City,NYC Office of the Medical Examiner,New York City Office of the Medical Examiner,NYCOCME,,OCME,Office of the Medical Examiner,
City,NYC Police Department,New York City Police Department,NYPD,056,NYPD,Police Department,Police Department                       
City,NYC Public Administrators Office - Bronx,New York City Public Administrators Office - Bronx,NYCPA-BX,942,PA-BX,Public Administrators Office - Bronx,Public Administrator-Bronx County       
City,NYC Public Administrators Office - Brooklyn,New York City Public Administrators Office - Brooklyn,NYCPA-BK,943,PA-BK,Public Administrators Office - Brooklyn,Public Administrator-Kings County       
City,NYC Public Administrators Office - Manhattan,New York City Public Administrators Office - Manhattan,NYCPA-MN,941,PA-MN,Public Administrators Office - Manhattan,Public Administrator-New York County    
City,NYC Public Administrators Office - Queens,New York City Public Administrators Office - Queens,NYCPA-QN,944,PA-QN,Public Administrators Office - Queens,Public Administrator- Queens County     
City,NYC Public Administrators Office - Staten Island,New York City Public Administrators Office - Staten Island,NYCPA-SI,945,PA-SI,Public Administrators Office - Staten Island,Public Administrator-Richmond County    
City,NYC Tax Commission,New York City Tax Commission,NYCTAXCM,,TAXCM,Tax Commission,
City,NYC Taxi and Limousine Commission,New York City Taxi and Limousine Commission,NYCTLC,156,TLC,Taxi and Limousine Commission,NYC Taxi and Limousine Comm             
City,NYC Transit Authority,New York City Transit Authority,NYCTA,998,NYCTA,Transit Authority,Transit Authority - Capital             
City,NYC Unknown,New York City Unknown,NYCUNKN,,UNKN,Unknown,
City-State,Brooklyn Bridge Park Corporation,Brooklyn Bridge Park Corporation,BBPC,,BBPC,Brooklyn Bridge Park Corporation,
City-State,Hudson River Park Trust,Hudson River Park Trust,HRPT,,HRPT,Hudson River Park Trust,
City-State,Hudson Yards Development Corporation,Hudson Yards Development Corporation,HYDC,,HYDC,Hudson Yards Development Corporation,
City-State,Roosevelt Island Operating Corporation,Roosevelt Island Operating Corporation,RIOC,,RIOC,Roosevelt Island Operating Corporation,
City-State,Trust for Governors Island,Trust for Governors Island,TGI,,TGI,Trust for Governors Island,
Federal,Amtrak,Amtrak,Amtrak,,Amtrak,Amtrak,
Federal,Federal Bureau of Prisons,Federal Bureau of Prisons,FBOP,,FBOP,Federal Bureau of Prisons,
Federal,US Coast Guard,United States Coast Guard,USCG,,USCG,US Coast Guard,
Federal,US Courts,United States Courts,USCOURTS,,USCOURTS,US Courts,
Federal,US Department of Transportation,United States Department of Transportation,USDOT,,USDOT,US Department of Transportation,
Federal,National Park Service,United States National Park Service,USNPS,,USNPS,,
Non-public,Brooklyn Public Library,Brooklyn Public Library,BPL,038,BPL,Brooklyn Public Library,Brooklyn Public Library                 
Non-public,New York Public Library,New York Public Library,NYPL,037,NYPL,New York Public Library,New York Public Library                 
Non-public,Queens Public Library,Queens Public Library,QPL,039,QPL,Queens Public Library,Queens Borough Public Library           
State,Metropolitan Transportation Authority,Metropolitan Transportation Authority,MTA,,MTA,Metropolitan Transportation Authority,
State,New York City Housing Authority,New York City Housing Authority,NYCHA,996,NYCHA,Housing Authority,Housing Authority                       
State,NYS Department of Corrections and Community Supervision,New York State Department of Corrections and Community Supervision,NYSDOCCS,,NYSDOCCS,NYS Department of Corrections and Community Supervision,
State,NYS Department of Environmental Conservation,New York State Department of Environmental Conservation,NYSDEC,,NYSDEC,NYS Department of Environmental Conservation,
State,NYS Department of Health,New York State Department of Health,NYSDOH,,NYSDOH,NYS Department of Health,
State,NYS Department of Transportation,New York State Department of Transportation,NYSDOT,,NYSDOT,NYS Department of Transportation,
State,NYS Education Department,New York State Education Department,NYSED,,NYSED,NYS Education Department,
State,NYS Office for People With Developmental Disabilities,New York State Office for People With Developmental Disabilities,NYSOPWDD,,NYSOPWDD,NYS Office for People With Developmental Disabilities,
State,NYS Office of Alcoholism and Substance Abuse Services,New York State Office of Alcoholism and Substance Abuse Services,NYSOASAS,,NYSOASAS,NYS Office of Alcoholism and Substance Abuse Services,
State,NYS Office of Children and Family Services,New York State Office of Children and Family Services,NYSOCFS,,NYSOCFS,NYS Office of Children and Family Services,
State,NYS Office of Mental Health,New York State Office of Mental Health,NYSOMH,,NYSOMH,NYS Office of Mental Health,
State,"NYS Office of Parks, Recreation and Historic Preservation","New York State Office of Parks, Recreation and Historic Preservation",NYSOPRHP,,NYSOPRHP,"NYS Office of Parks, Recreation and Historic Preservation",
State,NYS Unified Court System,New York State Unified Court System,NYCOURTS,,OURTS,NYS Unified Court System,
State,Port Authority of New York and New Jersey,Port Authority of New York and New Jersey,PANYNJ,,PANYNJ,Port Authority of New York and New Jersey,
,,,,073,BOC,Board of Correction                     ,Board of Correction                     
,,,,111,CITY,City-Wide Equipment Purchases           ,City-Wide Equipment Purchases           
,,,,135,COPIC,Comm on Pub Info and Commun             ,Comm on Pub Info and Commun             
,,,,043,CUCF,City University Construction Fund       ,City University Construction Fund       
,,,,063,DVS,Department of Veterans' Services        ,Department of Veterans' Services        
,,,,133,EEPC,Equal Employment Practices Commission   ,Equal Employment Practices Commission   
,,,,127,FISA,Financial Information Service Agency    ,Financial Information Service Agency    
,,,,096,HRA,Human Resources Administration          ,Human Resources Administration          
,,,,128,MOCJ,Office of Criminal Justice              ,Office of Criminal Justice              
,,,,009,NYCERS,NYC Employees Retirement Systm          ,NYC Employees Retirement Systm          
,,,,008,NYCOA,Office of the Actuary                   ,Office of the Actuary                   
,,,,062,NYCSO,City Sheriff                            ,City Sheriff                            
,,,,035,NYRL,New York Research Libraries             ,New York Research Libraries             
,,,,021,OATA,Office of Administrative Tax Appeals    ,Office of Administrative Tax Appeals    
,,,,044,SCA,School Construction Authority           ,School Construction Authority           
,,,,105,TFA,Transitional Finance Authority          ,Transitional Finance Authority          
,,,,041,TRS,Teachers' Retirement System             ,Teachers' Retirement System             
,,,,099,,,Debt Service                            
,,,,098,,,Miscellaneous                           
,,,,097,,,Default Agency                          
,,,,095,,,Pension Contributions                   
,,,,951,,,Surrogates Court - New York             
,,,,953,,,Surrogates Court - Bronx                
,,,,955,,,Surrogates Court - Kings                
,,,,956,,,Surrogates Court - Queens               
,,,,957,,,Surrogates Court - Richmond             
,,,,094,,,Department of Employment                
,,,,997,,,MaBSTOA - Capital                       
,,,,081,,,Dept of Marine & Aviation-Cptl          
,,,,999,,,Custodial Agy Small Agy                 
,,,,802,DPT,Department of Ports and Trade           ,Department of Ports and Trade           
,,,,078,,,Criminal Court                          
,,,,077,,,Family Court                            
,,,,070,,,Payments To Charitable Inst.            
,,,,04A,,,SCA Agency for Boe Decreases            
,,,,033,,,MSA - Capital                           
,,,,029,,,NYC Gambling Control Comm.              
,,,,028,,,Art Commission                          
,,,,007,,,"Bd of Estimate,Bur Franchises           "
,,,,005,,,"Bd of Estimate,Bur Secretary            "
,,,,079,,,Civil Court                             
,,,,511,,,Brooklyn Museum                         
,,,,421,,,Morgan Guarantee Trust Co.              
,,,,418,,,Marine Midland Bank                     
,,,,415,,,Manufacturers Hanover Trust Co          
,,,,412,,,European American Bank                  
,,,,409,,,Citibank                                
,,,,408,,,Wells Fargo Bank                        
,,,,406,,,Chemical Bank                           
,,,,403,,,Chase Manhattan Bank                    
,,,,402,,,Fleet Financial Services                
,,,,400,,,Bankers Trust Company                   
,,,,215,,,Commission on Racial Equity             
,,,,214,,,Health Payments                         
,,,,213,,,Office of Racial Equity                 
,,,,138,,,Districting Commission                  
,,,,104,,,Legislative Office Budget Rev.          
,,,,100,,,Mac Debt Service Funding                
,,,,911,,,County Clerk - New York County          
,,,,912,,,County Clerk - Bronx County             
,,,,913,,,County Clerk - Kings County             
,,,,914,,,County Clerk - Queens County            
,,,,915,,,County Clerk - Richmond County          
,,,,921,,,Supreme Court - 1st Jud Dist            
,,,,931,,,Supreme Court-2nd Jud Dist              
,,,,934,,,Supreme Court - 11th Jud Dist           
,,,,936,,,Supreme Court-2nd Jud Dist Si           
,,,,938,,,Supreme Court - Appellate Div           
