facsubgrp, facgroup,facdomain,servarea
Non-residential Housing and Homeless Services,Human Services,Health and Human Services,Local
Programs for People with Disabilities,Human Services,Health and Human Services,Local
Senior Services,Human Services,Health and Human Services,Local
Shelters and Transitional Housing,Human Services,Health and Human Services,Regional
Soup Kitchens and Food Pantries,Human Services,Health and Human Services,Local
Workforce Development,Human Services,Health and Human Services,Local
Public or Affordable Housing,Human Services,Health and Human Services,Regional
Immigrant Services,Human Services,Health and Human Services,Local
Material Supplies,Material Supplies and Markets,Core Infrastructure and Transportation,Regional
Wholesale Markets,Material Supplies and Markets,Core Infrastructure and Transportation,Regional
Solid Waste Processing,Solid Waste,Core Infrastructure and Transportation,Regional
Solid Waste Transfer and Carting,Solid Waste,Core Infrastructure and Transportation,Regional
DSNY Drop-off Facility,Solid Waste,Core Infrastructure and Transportation,Regional
Telecommunications,Telecommunications,Core Infrastructure and Transportation,Regional
Airports and Heliports,Transportation,Core Infrastructure and Transportation,Regional
Bus Depots and Terminals,Transportation,Core Infrastructure and Transportation,Regional
Other Transportation,Transportation,Core Infrastructure and Transportation,Regional
Parking Lots and Garages,Transportation,Core Infrastructure and Transportation,Local
Ports and Ferry Landings,Transportation,Core Infrastructure and Transportation,Regional
Rail Yards and Maintenance,Transportation,Core Infrastructure and Transportation,Regional
Wastewater and Pollution Control,Water and Wastewater,Core Infrastructure and Transportation,Regional
Water Supply,Water and Wastewater,Core Infrastructure and Transportation,Regional
City Agency Parking,"City Agency Parking, Maintenance, and Storage",Administration of Government,Local
Custodial,"City Agency Parking, Maintenance, and Storage",Administration of Government,Local
Maintenance and Garages,"City Agency Parking, Maintenance, and Storage",Administration of Government,Regional
Storage,"City Agency Parking, Maintenance, and Storage",Administration of Government,Regional
City Government Offices,"Offices, Training, and Testing",Administration of Government,Regional
Training and Testing,"Offices, Training, and Testing",Administration of Government,Regional
Miscellaneous Use,Other Property,Administration of Government,Regional
Properties Leased or Licensed to Non-public Entities,Other Property,Administration of Government,Regional
Head Start,Day Care and Pre-Kindergarten,"Education, Child Welfare, and Youth",Local
