"Budget Code","Budget Code Name"
0210,,"="""""
0229,,"="""""
0265,,"="""""
0315,,"="""""
0359,,"="""""
0360,,"="""""
0373,,"="""""
0382,,"="""""
0405,,"="""""
0449,,"="""""
0463,,"="""""
0535,,"="""""
0579,,"="""""
0584,,"="""""
0676,,"="""""
0786,,"="""""
0791,,"="""""
0845,,"="""""
0881,,"="""""
0896,,"="""""
0900,,"="""""
0913,,"="""""
0939,,"="""""
0975,,"="""""
0988,,"="""""
4500,,"="""""
0001,,"="""""
0224,,"="""""
0233,,"="""""
0332,,"="""""
0343,,"="""""
0354,,"="""""
0390,,"="""""
0408,,"="""""
0417,,"="""""
0422,,"="""""
0431,,"="""""
0453,,"="""""
0480,,"="""""
0512,,"="""""
0538,,"="""""
0682,,"="""""
0761,,"="""""
0772,,"="""""
0862,,"="""""
0871,,"="""""
0923,,"="""""
0934,,"="""""
0941,,"="""""
0952,,"="""""
0967,,"="""""
0978,,"="""""
0985,,"="""""
0996,,"="""""
0035,,"="""""
0039,,"="""""
0053,,"="""""
0066,,"="""""
0109,,"="""""
0127,,"="""""
0130,,"="""""
0145,,"="""""
0156,,"="""""
0163,,"="""""
0181,,"="""""
0192,,"="""""
0202,,"="""""
0211,,"="""""
0228,,"="""""
0314,,"="""""
0358,,"="""""
0361,,"="""""
0372,,"="""""
0383,,"="""""
0404,,"="""""
0448,,"="""""
0462,,"="""""
0471,,"="""""
0493,,"="""""
0534,,"="""""
0677,,"="""""
0787,,"="""""
0790,,"="""""
0844,,"="""""
0880,,"="""""
0897,,"="""""
0901,,"="""""
0912,,"="""""
0938,,"="""""
0974,,"="""""
0989,,"="""""
4480,,"="""""
0017,,"="""""
0023,,"="""""
0030,,"="""""
0045,,"="""""
0081,,"="""""
0113,,"="""""
0139,,"="""""
0188,,"="""""
0218,,"="""""
0221,,"="""""
0236,,"="""""
0247,,"="""""
0254,,"="""""
0272,,"="""""
0283,,"="""""
0290,,"="""""
0337,,"="""""
0346,,"="""""
0351,,"="""""
0368,,"="""""
0395,,"="""""
0412,,"="""""
0427,,"="""""
0434,,"="""""
0441,,"="""""
0478,,"="""""
0485,,"="""""
0517,,"="""""
0522,,"="""""
0571,,"="""""
0650,,"="""""
0777,,"="""""
0799,,"="""""
0801,,"="""""
0838,,"="""""
0852,,"="""""
0867,,"="""""
0874,,"="""""
0889,,"="""""
0908,,"="""""
0931,,"="""""
0944,,"="""""
0957,,"="""""
0962,,"="""""
0980,,"="""""
0993,,"="""""
4320,,"="""""
J102,,"="""""
0009,,"="""""
0036,,"="""""
0069,,"="""""
0090,,"="""""
0106,,"="""""
0115,,"="""""
0128,,"="""""
0159,,"="""""
0173,,"="""""
0227,,"="""""
0230,,"="""""
0241,,"="""""
0252,,"="""""
0285,,"="""""
0331,,"="""""
0340,,"="""""
0393,,"="""""
0414,,"="""""
0421,,"="""""
0432,,"="""""
0447,,"="""""
0483,,"="""""
0502,,"="""""
0511,,"="""""
0524,,"="""""
0678,,"="""""
0681,,"="""""
0762,,"="""""
0771,,"="""""
0788,,"="""""
0854,,"="""""
0861,,"="""""
0872,,"="""""
0898,,"="""""
0920,,"="""""
0937,,"="""""
0942,,"="""""
0951,,"="""""
0964,,"="""""
0986,,"="""""
0995,,"="""""
3110,,"="""""
4380,,"="""""
0018,,"="""""
0011,,"="""""
0060,,"="""""
0073,,"="""""
0121,,"="""""
0136,,"="""""
0143,,"="""""
0150,,"="""""
0165,,"="""""
0187,,"="""""
0204,,"="""""
0217,,"="""""
0239,,"="""""
0248,,"="""""
0338,,"="""""
0349,,"="""""
0367,,"="""""
0374,,"="""""
0385,,"="""""
0402,,"="""""
0428,,"="""""
0459,,"="""""
0464,,"="""""
0477,,"="""""
0495,,"="""""
0518,,"="""""
0532,,"="""""
0569,,"="""""
0583,,"="""""
0671,,"="""""
0778,,"="""""
0781,,"="""""
0796,,"="""""
0842,,"="""""
0868,,"="""""
0891,,"="""""
0907,,"="""""
0929,,"="""""
0958,,"="""""
0972,,"="""""
4280,,"="""""
0006,,"="""""
0024,,"="""""
0037,,"="""""
0068,,"="""""
0091,,"="""""
0107,,"="""""
0114,,"="""""
0129,,"="""""
0158,,"="""""
0172,,"="""""
0226,,"="""""
0231,,"="""""
0240,,"="""""
0253,,"="""""
0275,,"="""""
0305,,"="""""
0341,,"="""""
0356,,"="""""
0392,,"="""""
0415,,"="""""
0420,,"="""""
0433,,"="""""
0446,,"="""""
0451,,"="""""
0482,,"="""""
0503,,"="""""
0510,,"="""""
0525,,"="""""
0679,,"="""""
0680,,"="""""
0770,,"="""""
0789,,"="""""
0855,,"="""""
0873,,"="""""
0899,,"="""""
0921,,"="""""
0936,,"="""""
0943,,"="""""
0950,,"="""""
0965,,"="""""
0987,,"="""""
0994,,"="""""
4200,,"="""""
0019,,"="""""
0014,,"="""""
0029,,"="""""
0076,,"="""""
0119,,"="""""
0124,,"="""""
0133,,"="""""
0146,,"="""""
0155,,"="""""
0160,,"="""""
0182,,"="""""
0191,,"="""""
0201,,"="""""
0212,,"="""""
0278,,"="""""
0289,,"="""""
0317,,"="""""
0371,,"="""""
0380,,"="""""
0407,,"="""""
0418,,"="""""
0461,,"="""""
0472,,"="""""
0528,,"="""""
0537,,"="""""
0586,,"="""""
0784,,"="""""
0793,,"="""""
0847,,"="""""
0858,,"="""""
0883,,"="""""
0894,,"="""""
0902,,"="""""
0911,,"="""""
0968,,"="""""
0977,,"="""""
4340,,"="""""
4700,,"="""""
E800,,"="""""
0003,,"="""""
0041,,"="""""
0078,,"="""""
0092,,"="""""
0104,,"="""""
0117,,"="""""
0171,,"="""""
0225,,"="""""
0232,,"="""""
0269,,"="""""
0276,,"="""""
0333,,"="""""
0342,,"="""""
0355,,"="""""
0391,,"="""""
0409,,"="""""
0416,,"="""""
0423,,"="""""
0430,,"="""""
0445,,"="""""
0452,,"="""""
0513,,"="""""
0539,,"="""""
0588,,"="""""
0773,,"="""""
0856,,"="""""
0863,,"="""""
0870,,"="""""
0922,,"="""""
0935,,"="""""
0940,,"="""""
0953,,"="""""
0966,,"="""""
0979,,"="""""
0984,,"="""""
0997,,"="""""
0034,,"="""""
0022,,"="""""
0031,,"="""""
0044,,"="""""
0097,,"="""""
0101,,"="""""
0112,,"="""""
0138,,"="""""
0189,,"="""""
0219,,"="""""
0237,,"="""""
0246,,"="""""
0273,,"="""""
0282,,"="""""
0325,,"="""""
0336,,"="""""
0347,,"="""""
0350,,"="""""
0369,,"="""""
0394,,"="""""
0413,,"="""""
0426,,"="""""
0435,,"="""""
0440,,"="""""
0457,,"="""""
0479,,"="""""
0516,,"="""""
0523,,"="""""
0570,,"="""""
0765,,"="""""
0776,,"="""""
0798,,"="""""
0853,,"="""""
0866,,"="""""
0875,,"="""""
0888,,"="""""
0909,,"="""""
0930,,"="""""
0945,,"="""""
0956,,"="""""
0963,,"="""""
0981,,"="""""
0992,,"="""""
4400,,"="""""
0008,,"="""""
0111,,"="""""
0177,,"="""""
0199,,"="""""
0209,,"="""""
0223,,"="""""
0234,,"="""""
0245,,"="""""
0326,,"="""""
0335,,"="""""
0344,,"="""""
0353,,"="""""
0379,,"="""""
0388,,"="""""
0397,,"="""""
0410,,"="""""
0425,,"="""""
0436,,"="""""
0443,,"="""""
0487,,"="""""
0498,,"="""""
0506,,"="""""
0515,,"="""""
0638,,"="""""
0766,,"="""""
0775,,"="""""
0850,,"="""""
0865,,"="""""
0876,,"="""""
0933,,"="""""
0946,,"="""""
0955,,"="""""
0960,,"="""""
0982,,"="""""
0991,,"="""""
0032,,"="""""
0064,,"="""""
0118,,"="""""
0125,,"="""""
0132,,"="""""
0147,,"="""""
0161,,"="""""
0183,,"="""""
0200,,"="""""
0213,,"="""""
0288,,"="""""
0316,,"="""""
0363,,"="""""
0370,,"="""""
0381,,"="""""
0406,,"="""""
0419,,"="""""
0473,,"="""""
0491,,"="""""
0536,,"="""""
0587,,"="""""
0675,,"="""""
0785,,"="""""
0792,,"="""""
0833,,"="""""
0846,,"="""""
0882,,"="""""
0895,,"="""""
0903,,"="""""
0910,,"="""""
0969,,"="""""
0976,,"="""""
4420,,"="""""
0015,,"="""""
0033,,"="""""
0059,,"="""""
0082,,"="""""
0095,,"="""""
0110,,"="""""
0169,,"="""""
0176,,"="""""
0222,,"="""""
0235,,"="""""
0244,,"="""""
0334,,"="""""
0345,,"="""""
0378,,"="""""
0396,,"="""""
0411,,"="""""
0424,,"="""""
0437,,"="""""
0442,,"="""""
0455,,"="""""
0514,,"="""""
0558,,"="""""
0639,,"="""""
0767,,"="""""
0774,,"="""""
0864,,"="""""
0877,,"="""""
0932,,"="""""
0947,,"="""""
0954,,"="""""
0961,,"="""""
0983,,"="""""
J008,,"="""""
0020,,"="""""
P023,-,"="""""
P012,-,"="""""
P005,-,"="""""
P021,-,"="""""
P032,-,"="""""
P018,-,"="""""
P011,-,"="""""
P006,-,"="""""
P015,-,"="""""
P007,-,"="""""
P010,-,"="""""
P029,-,"="""""
3002,-,"="""""
P014,-,"="""""
P003,-,"="""""
P036,-,"="""""
P025,-,"="""""
P037,-,"="""""
P024,-,"="""""
P017,-,"="""""
P031,-,"="""""
P022,-,"="""""
P016,-,"="""""
P020,-,"="""""
P033,-,"="""""
P019,-,"="""""
P034,-,"="""""
P013,-,"="""""
P004,-,"="""""
P035,-,"="""""
P026,-,"="""""
3007,---,"="""""
B166,.,"="""""
B164,.,"="""""
D200,.,"="""""
L505,.,"="""""
4004,*,"="""""
HPE3,"* * * * ** ** **","="""""
HPT2,"** ** ** **","="""""
CR20,"002 ARP PS","="""""
CON5,"040 SSBA-CC","="""""
G028,"04H TAX UD & INS","="""""
8234,"04 STATE HOMELAND SECURITY BLOCK GRANT","="""""
05GL,05GL,"="""""
05TL,05TL,"="""""
G817,"08I COI 5 YEARS PPU PROCEEDS","="""""
G826,"08I COI-TAXABLE - PPU 15","="""""
G827,"08I COI TAXABLE - PPU 20","="""""
G828,"08I COI TAXABLE - PPU 25","="""""
G829,"08I COI TAXABLE - PPU 30","="""""
G824,"08I COI TAXABLE - PPU 5","="""""
G830,"08I COI TAXABLE - PPU 50","="""""
G825,"08I COI - TAX - PPU 10","="""""
G818,"08I COI - T/E - PPU 10","="""""
G819,"08I COI - T/E - PPU 15","="""""
G820,"08I COI - T/E - PPU 20","="""""
G821,"08I COI- T/E - PPU 25","="""""
G822,"08I COI - T/E - PPU 30","="""""
G823,"08I COI - T/E - PPU 40","="""""
A262,"08I OID TAXABLE - PPU 25","="""""
A263,"08I OID - TAX - PPU 30","="""""
A264,"08I OID - TAX - PPU 50","="""""
G843,"08L TE COI","="""""
G872,"09B-1 B-3 TE FIXED AND VRDB","="""""
G876,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G875,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G873,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G874,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G878,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G877,"09B-1 B-3 TE FIXED AND VRDB COI AND UW","="""""
G881,"09B-2 TX COI AND UW","="""""
G882,"09B-2 TX COI AND UW","="""""
G880,"09B-2 TX COI AND UW","="""""
G885,"09B-2 TX COI AND UW","="""""
G883,"09B-2 TX COI AND UW","="""""
G884,"09B-2 TX COI AND UW","="""""
G879,"09B-2TX FIXED AND VRDB COI AND UW","="""""
G886,"09CD TE REF COI","="""""
G889,"09CD TE REF COI","="""""
G888,"09CD TE REF COI","="""""
G890,"09CD TE REF COI","="""""
G887,"09CD TE REF COI","="""""
1084,"09 Companion Animal Sheltering Equipment","="""""
889G,"09E-1 COI","="""""
887G,"09E-1 COI","="""""
891G,"09E-1 COI","="""""
888G,"09E-1 COI","="""""
890G,"09E-1 COI","="""""
886G,"09E-1 COI","="""""
A269,"09E-1 OID","="""""
A270,"09E-1 OID","="""""
A268,"09E-1 OID","="""""
A265,"09E-1 OID","="""""
A266,"09E-1 OID","="""""
A267,"09E-1 OID","="""""
896G,"09E-2 COI","="""""
G898,"09E-2 COI","="""""
893G,"09E-2 COI","="""""
894G,"09E-2 COI","="""""
895G,"09E-2 COI","="""""
897G,"09E-2 COI","="""""
892G,"09E-2 COI","="""""
898G,"09E-2 TX COI","="""""
G903,"09F-1 TE COI","="""""
A275,"09F-1 TE COI","="""""
A273,"09F-1 TE COI","="""""
G902,"09F-1 TE COI","="""""
A272,"09F-1 TE COI","="""""
A274,"09F-1 TE COI","="""""
G899,"09F-1 TE COI","="""""
A276,"09F-1 TE COI","="""""
G901,"09F-1 TE COI","="""""
A271,"09F-1 TE COI","="""""
G900,"09F-1 TE COI","="""""
G904,"09F-1 TE COI","="""""
G908,"09F-2 TX COI","="""""
G905,"09F-2 TX COI","="""""
G910,"09F-2 TX COI","="""""
G909,"09F-2 TX COI","="""""
G912,"09F-2 TX COI","="""""
G911,"09F-2 TX COI","="""""
G906,"09F-2 TX COI","="""""
G907,"09F-2 TX COI","="""""
G918,"09G-1 TE COI","="""""
G917,"09G-1 TE COI","="""""
G915,"09G-1 TE COI","="""""
G914,"09G-1 TE COI","="""""
G916,"09G-1 TE COI","="""""
A282,"09G-1 TE OID","="""""
A281,"09G-1 TE OID","="""""
A279,"09G-1 TE OID","="""""
A280,"09G-1 TE OID","="""""
G913,"09G-1 TE OID","="""""
A278,"09G-1 TE OID","="""""
A277,"09G-1 TE OID","="""""
G921,"09G-2 TX COI","="""""
G920,"09G-2 TX COI","="""""
G922,"09G-2 TX COI","="""""
G919,"09G-2 TX COI","="""""
G923,"09G-2 TX COI","="""""
A286,"09G-2 TX OID","="""""
A283,"09G-2 TX OID","="""""
A284,"09G-2 TX OID","="""""
A285,"09G-2 TX OID","="""""
A287,"09G-2 TX OID","="""""
0100,"0TPS TAX LEVY","="""""
ANDX,"1001 ANDERSON AVE, BX: LOAN PER ART 8A,","="""""
RAVN,"100 CENTRAL AVE. SHELTER ELECTRO-MAGNETI","="""""
C006,"100 CENTRAL AVE, SI: FAM SHELTER; ROOD R","="""""
LAB2,"100 CENTRE ST - ELEVATOR MODERNIZATION A","="""""
MCRT,"100 CENTRE ST, MANHATTAN CRIMINAL COURT:","="""""
P121,"100 CENTRE ST, MANHATTAN ROOF REPLACEMEN","="""""
MCSP,"100 CENTRE ST, MN: CON OF NEW COOLING TO","="""""
MCRB,"100 CENTRE ST, MN CRIMINAL COURT: REPLAC","="""""
ADAC,"100 CENTRE ST, MN: CRIMINAL CT: ADA COMP","="""""
MCRX,"100 CENTRE ST, MN CRIMINAL CT: EXTERIOR","="""""
MCTC,"100 CENTRE ST, MN: INSTAL TRASH COMPACTO","="""""
COO1,"100 CENTRE ST, MN: MANHATTAN CRIMNAL COU","="""""
GQ12,"100 CENTRE ST, MN: POLLUTION REMEDIATION","="""""
MCSP,"100 CENTRE ST, MN: REMOVE EXISTING SPRAY","="""""
CSWM,"100 CENTRE ST., MN: REMOVE & INSTALL NEW","="""""
COO1,"100 CENTRE ST, MN: UPGRADE OF CONTROL SY","="""""
MCFI,"100 CENTRE ST, MN: UPGRADE SPRINKLER SYS","="""""
FS61,"100 CENTRE STREET, MN: COMPREHENSIVE ENE","="""""
MCFI,"100 CENTRE STREET, MN: RECON SPRINKLER S","="""""
COWT,"100 CENTRE STREET - WATER TANK. REPLACE","="""""
LAWC,"100 CHURCH STREET, MN: LAW DEPT: RECON A","="""""
RE4L,"100 CHURCH STREET, MN: RECON 10TH, 12TH","="""""
RE40,"100 GOLD, MN: RECON 3RD & 4TH FLR INCL:","="""""
GL2F,"100 GOLD ST, 2ND FLR, MN: MOCS & ""MAYOR'","="""""
GL2E,"100 GOLD ST, 2ND FLR, MN: MOCS (MAYOR'S","="""""
GQ50,"100 GOLD ST, MN: 3RD FLR, ASBESTOS ABATE","="""""
GQ11,"100 GOLD ST, MN: ASBESTOS ABATEMENT ASSO","="""""
E246,"100 GOLD ST, MN: BLDG WIDE ENERGY EFFICI","="""""
GQ90,"100 GOLD ST, MN: BLDG WIDE ENERGY EFFICI","="""""
GQ90,"100 GOLD ST, MN: COMPREHENSIVE ENERGY EF","="""""
FS53,"100 GOLD ST, MN: COMPREHENSIVE ENERGY EF","="""""
E246,"100 GOLD ST, MN: COMPREHENSIVE ENERGY EF","="""""
E122,"100 GOLD ST, MN: INSTALL 2 COOLING TOWER","="""""
GQA2,"100 GOLD ST, MN: MAYORS OFFICE, 2ND FLOO","="""""
GLHA,"100 GOLD ST, MN: RECON BLDG HVAC SYSTEM,","="""""
GLHA,"100 GOLD ST, MN: RECON BUILDING HVAC SYS","="""""
GLRS,"100 GOLD ST, MN: RECON FLOORS 4, 5 & 6","="""""
RFGL,"100 GOLD ST, MN: RECON ROOF INCL REPLACI","="""""
GLSA,"100 GOLD ST, MN: REMOVE & INSTALL NEW ME","="""""
GLCH,"100 GOLD ST, MN: REPLACE CHILLER SYSTEM","="""""
GLFA,"100 GOLD ST, MN: (THIS BUDGET CODE FOR D","="""""
ACMS,"100 GOLD ST, MN: UPGRADE ACCESS CONTROL","="""""
GOSE,"100 GOLD ST, MN: UPGRADE SECURITY SYSTEM","="""""
GMIS,"100 GOLD ST, MN: UPGRADE TO HVAC SYSTEM","="""""
E122,"100 GOLD STREET, MN: INSTALL 2 COOLING","="""""
GMIS,"100 GOLD STREET, MN: MAYOR'S OFFICE, 2ND","="""""
GLPR,"100 GOLD STREET, MN: RECON BASEMENT FOR","="""""
GLEX,"100 GOLD STREET, MN: RECON EXTERIOR FACA","="""""
ACMS,"100 GOLD STREET, MN: UPGRADE ACCESS CONT","="""""
GEN4,"100 GOLD STREET, MN: UPGRADE EMERGENCY D","="""""
A093,"100 GOLD STREET RENOVATION OF BASEMENT F","="""""
CITY,"100 GOLD ST, SENIOR CENTER, MN: INITIAL","="""""
A133,"100 OLD SLIP: CON OF PLUMB, ELEC, HVAC &","="""""
SLIP,"100 OLD SLIP, MN: DESIGN RELATED TO RENO","="""""
0146,"100 Pct Gun Anti- Violence Initiative","="""""
0102,"100 Pct Gun Violence Intervention Grant","="""""
QB8A,"100% REPOINTTING OF HUNTER CAMPUS SCHOOL","="""""
EFAC,"100 RICHMOND TERRACE,  FAMILY COURT BLDG","="""""
ADAR,"100 RICHMOND TERRACE, SI: RECON COURT FO","="""""
Q116,"100% ROOF RECON AT WINDSOR PARK LIBRARY","="""""
9155,"100% TANF DV","="""""
1656,"100th Pct FFY 12 Byrne / JAG Program","="""""
100P,"100TH PRECINCT, QNS: CONSULTANT WORK FO","="""""
1017,"1017 HOME STREET, BX: SENIOR AFFORDABLE","="""""
V101,"101 CENTRE ST., MAN: CON OF NEW ELEVATOR","="""""
0147,"101 Pct  Anti-Crime Program -T103887","="""""
0103,"101 Pct Gun Violence Intervention Grant","="""""
1673,"101th Pct FFY 12 Byrne / JAG Program","="""""
HW84,"102-15 LIBERTY AVE, QNS: ROADWAY & BULKH","="""""
0156,"102 Pct Anti-Violence Initiative","="""""
0105,"102 Pct Gun Violence Intervention Grant","="""""
GQ91,"102 PRECINCT, 87-30 118 ST, QNS: ASBESTO","="""""
E196,"102 PRECINCT, 87-30 118 ST, QNS: ENERGY","="""""
103K,103K,"="""""
D005,"103RD ST STATION ON B/C LINE UPGRADE INC","="""""
0157,"104 Pct Anti-Violence Initiative Program","="""""
0106,"104 Pct Gun Violence Intervention Grant","="""""
1097,"104 PCT PURCHASE OF VEHICLES ID # 19118","="""""
1117,"104th Pct . ARGUS Cameras","="""""
SECU,"104TH PCT, QNS: RECON BATHRMS, INCL HAND","="""""
QHCR,"104TH PCT, QNS:RECON BATHROOMS INCL HAND","="""""
T104,"104TH PCT, QNS: UPGRADE TELEPHONE SYSTEM","="""""
TEL8,"104TH PRECINCT: PURCHASE & INSTALL VOIP","="""""
CR11,"105 ARP PS","="""""
0173,"106 Pct Anti-Violence Initiative","="""""
0107,"106 Pct Gun Violence Intervention Grant","="""""
0162,"107 Pct Anti Violence Initiative Program","="""""
0125,"107 Pct Gun Violence Intervention Grant","="""""
0137,"107 Pct  (SAM) Purchase Vehicles","="""""
0052,"107TH PCT. AUXILIARY PROGRAM","="""""
4612,"107th Precinct-Equipment Program","="""""
1091,"109 Precinct - OTPS","="""""
CR13,"10 BRIDGES, 31 ST/BQE, BULOVA AVE/BQE, 4","="""""
CR08,"10 BRIDGES CITY-WIDE: GRAND CONCOURSE &","="""""
CR14,"10 BRIDGES: E TREMONT AVE/HUTCHINSON RIV","="""""
WEBS,"10 BRONX LIBRARY BRANCHES: MISC. IMPVTS","="""""
10GL,10GL,"="""""
C447,"10 RICHMOND TERRACE: EXTERIOR LIGHTING A","="""""
RBRO,"10 RICHMOND TERRACE, SI: RECON PORTIONS","="""""
RBRO,"10 RICHMOND TERRACE, STATEN ISLAND: ROOF","="""""
RBHX,"10 RICHMOND TERR. SI  BOROUGH HALL: PREL","="""""
1157,"10TH AVE, MN: RECON FROM 206TH TO 218TH","="""""
GRAL,"110-32/30 - 110-58/52 MERRICK BLVD, QNS:","="""""
AMEC,"110-32/30 - 110-58/52 MERRICK BLVD, QNS:","="""""
DC64,"110TH ST, NORTHERN BLVD TO ASTORIA BLVD,","="""""
PRNT,"111 8TH AVE, MN, HRA SITE: PURCH 6 PRODU","="""""
Z096,"111 8TH AVE, MN, HRA SITE: PURCH 6 PRODU","="""""
E111,"111 CENTRE ST, MN CIVIL CT:  ELEC UPGRAD","="""""
X111,"111 CENTRE STREET, MN: EXTERIOR FACADE R","="""""
MVEX,"111 CENTRE STREET, MN: FACADE REHAB: CLA","="""""
P123,"111 CENTRE ST ROOF REPLACEMENT MANH CIVI","="""""
111E,"111 EAST 172ND ST, BX: SUPPORTIVE HOUSIN","="""""
IF09,"111 ST BTWN 46 AVE & CORONA AVE, QNS: DE","="""""
D103,"111 ST BTWN 46 AVE & CORONA AVE, QNS: DE","="""""
Q539,"111TH AVE, BETWEN COLFAX STREET AND 204T","="""""
ELDG,"112-114 ELDRIDGE ST, MN: LOAN PER ART 8","="""""
ELDD,"112-114 ELDRIDGE ST, MN: LOAN PER ART 8","="""""
112E,"112 E CLARKE PL, BX: FY18 SENIOR AFFORDA","="""""
0163,"112 Pct Anti Violence Initiative Program","="""""
0126,"112 Pct Gun Violence Intervention Grant","="""""
112F,"112TH PCT, QNS: RECON FRONT DESK,  INCL","="""""
112W,"112TH PRECINCT, QNS: PURCHASE & INSTALL","="""""
112V,"112TH PRECINCT, QNS: PURCHASE SURVEILLAN","="""""
112E,"112TH PRECINCT, QNS: RECON AND ADA COMPL","="""""
MCBD,"11-30 MCBRIDE ST, QNS: NEIGHBORHOOD CONS","="""""
CWBU,"1150 COMMONWEALTH AVE, BX: UPGRADE TO CI","="""""
COMP,"1155 MANHATTAN AVE, BKLYN: COSTS INCIDEN","="""""
FCDE,"1155 MANHATTAN AVE, BKLYN: RECON INCL RO","="""""
CHRY,"115 CHRYSTIE ST, MN: RECON  & INITIAL OU","="""""
115K,"115TH PRECINCT (92-15 NORTHERN BLVD, QNS","="""""
115P,"115TH PRECINCT (92-15 NORTHERN BLVD, QNS","="""""
LED3,"115TH ST BRANCH LIBRARY, MAN: REPLACE LI","="""""
115D,"115TH ST BRANCH LIBRARY, MN: PASS-THRU F","="""""
115A,"115TH ST BRANCH LIBRARY, MN: PASS-THRU F","="""""
115C,"115TH ST BRANCH LIBRARY, MN: PASS-THRU F","="""""
115B,"115TH ST BRANCH LIBRARY, MN: PASS-THRU F","="""""
115L,"115TH STREET BRANCH LIBRARY, 203 WEST 11","="""""
115Z,"115TH STREET BRANCH LIBRARY, 203 WEST 11","="""""
115Y,"115TH STREET BRANCH LIBRARY, 203 WEST 11","="""""
1151,"115TH STREET BRANCH LIBRARY, MN: REMOVE","="""""
115N,"115TH STREET BRANCH LIBRARY, MN: REMOVE","="""""
1152,"115TH STREET BRANCH LIBRARY, MN: REMOVE","="""""
116P,"116 TH PRECINT HOUSE, 244-04 NORTH CONDU","="""""
P116,"116 TH PRECINT HOUSE, 244-04 NORTH CONDU","="""""
116E,"116 TH PRECINT HOUSE, 244-04 NORTH CONDU","="""""
H148,"116 WILLIAMS AVE. SHELTER ASBESTOS ABATE","="""""
BAFH,"116 WILLIAMS BKLYN MEN'S SHEL- TER: GUT","="""""
H154,"116 WILLIAMS BKLYN WOMEN'S SHELTER. INST","="""""
RVR3,"1184 RIVER PHASE 2, EXTREMELY LOW & LOW","="""""
RVR1,"1184 RIVER PHASE 2, EXTREMELY LOW & LOW","="""""
RVR2,"1184 RIVER PHASE 2, EXTREMELY LOW & LOW","="""""
7919,"119 RALPH AVE-SEC 8","="""""
MUL3,"11A, 17, 21, 24, 27 E 129 ST: GUT RECON","="""""
A1N1,"11 FDNY FACILITIES: EC 3, 15, 37, 39, 59","="""""
A201,"11 FDNY FACILITIES: EC 3, 15, 37, 39, 59","="""""
11BR,"11 METROTECH, BK: COMP RECON INCL: DEMO,","="""""
11EC,"11 METROTECH, BK: INSTALL NEW ELEVATORS,","="""""
11UP,"11 METROTECH, BK: INSTALL NEW UPS (UNINT","="""""
B250,"11 METROTECH, BKLYN: ACQUIS OF INTEREST","="""""
P077,"11 METROTECH, BKLYN; CON OF IMPVTS TO CL","="""""
11MT,"11 METROTECH, BKLYN: DESIGN FOR BUILD-OU","="""""
PSEC,"11 METROTECH, BKLYN: INSTALLATION OF EXT","="""""
11MT,"11 METROTECH CTR, BKLYN: RECONSTRUCTION","="""""
