OBJECTID,boro,bctcb2020,cenblock20
96,Manhattan,10012001012,360610000000000
97,Manhattan,10012002008,360610000000000
98,Manhattan,10013001000,360610000000000
99,Manhattan,10013001001,360610000000000
100,Manhattan,10013001002,360610000000000
101,Manhattan,10013002002,360610000000000
102,Manhattan,10013002003,360610000000000
103,Manhattan,10013002008,360610000000000
104,Manhattan,10013003001,360610000000000
105,Manhattan,10013003002,360610000000000
106,Manhattan,10013003003,360610000000000
107,Manhattan,10013003004,360610000000000
108,Manhattan,10013003005,360610000000000
109,Manhattan,10013004001,360610000000000
110,Manhattan,10013004002,360610000000000
111,Manhattan,10013004003,360610000000000
112,Manhattan,10013004004,360610000000000
113,Manhattan,10013004005,360610000000000
114,Manhattan,10013004007,360610000000000
115,Manhattan,10013004008,360610000000000
116,Manhattan,10013005000,360610000000000
117,Manhattan,10013005001,360610000000000
118,Manhattan,10013005003,360610000000000
119,Manhattan,10013005004,360610000000000
120,Manhattan,10014011000,360610000000000
121,Manhattan,10014012000,360610000000000
122,Manhattan,10014012001,360610000000000
123,Manhattan,10014021000,360610000000000
124,Manhattan,10014021001,360610000000000
125,Manhattan,10014021004,360610000000000
126,Manhattan,10014021006,360610000000000
127,Manhattan,10014021007,360610000000000
128,Manhattan,10014021008,360610000000000
129,Manhattan,10014022001,360610000000000
130,Manhattan,10014022006,360610000000000
131,Manhattan,10014022007,360610000000000
132,Manhattan,10014022008,360610000000000
133,Manhattan,10015011007,360610000000000
134,Manhattan,10015011009,360610000000000
135,Manhattan,10015011010,360610000000000
136,Manhattan,10015011011,360610000000000
137,Manhattan,10015011012,360610000000000
138,Manhattan,10015011013,360610000000000
139,Manhattan,10015011014,360610000000000
140,Manhattan,10015011016,360610000000000
141,Manhattan,10015011017,360610000000000
142,Manhattan,10015013001,360610000000000
143,Manhattan,10015013003,360610000000000
144,Manhattan,10015013007,360610000000000
145,Manhattan,10015013008,360610000000000
146,Manhattan,10015013009,360610000000000
147,Manhattan,10015013010,360610000000000
148,Manhattan,10015013011,360610000000000
149,Manhattan,10015013012,360610000000000
150,Manhattan,10015013013,360610000000000
151,Manhattan,10015013014,360610000000000
152,Manhattan,10015021000,360610000000000
153,Manhattan,10015021001,360610000000000
154,Manhattan,10015021002,360610000000000
155,Manhattan,10015021003,360610000000000
156,Manhattan,10015021004,360610000000000
157,Manhattan,10015022000,360610000000000
158,Manhattan,10015022001,360610000000000
159,Manhattan,10015022002,360610000000000
160,Manhattan,10015022003,360610000000000
161,Manhattan,10015022004,360610000000000
162,Manhattan,10015022005,360610000000000
163,Manhattan,10015023000,360610000000000
164,Manhattan,10015023001,360610000000000
165,Manhattan,10015023002,360610000000000
166,Manhattan,10015023003,360610000000000
167,Manhattan,10015024000,360610000000000
168,Manhattan,10015024001,360610000000000
169,Manhattan,10015024002,360610000000000
170,Manhattan,10015024003,360610000000000
171,Manhattan,10015024004,360610000000000
172,Manhattan,10015024005,360610000000000
173,Manhattan,10015024006,360610000000000
174,Manhattan,10015025000,360610000000000
175,Manhattan,10015026000,360610000000000
176,Manhattan,10015026001,360610000000000
177,Manhattan,10016001001,360610000000000
178,Manhattan,10016001002,360610000000000
179,Manhattan,10016002000,360610000000000
180,Manhattan,10016002001,360610000000000
181,Manhattan,10016003000,360610000000000
182,Manhattan,10016003001,360610000000000
183,Manhattan,10016003002,360610000000000
184,Manhattan,10016003003,360610000000000
185,Manhattan,10016004000,360610000000000
186,Manhattan,10016004001,360610000000000
187,Manhattan,10016004002,360610000000000
188,Manhattan,10016005000,360610000000000
189,Manhattan,10016005001,360610000000000
190,Manhattan,10016005002,360610000000000
191,Manhattan,10016005005,360610000000000
192,Manhattan,10016005006,360610000000000
193,Manhattan,10018001002,360610000000000
194,Manhattan,10018001003,360610000000000
195,Manhattan,10018002003,360610000000000
196,Manhattan,10018002005,360610000000000
197,Manhattan,10018002006,360610000000000
198,Manhattan,10018002007,360610000000000
199,Manhattan,10018003000,360610000000000
200,Manhattan,10018003001,360610000000000
201,Manhattan,10018003002,360610000000000
202,Manhattan,10018003003,360610000000000
203,Manhattan,10018004000,360610000000000
204,Manhattan,10018004001,360610000000000
205,Manhattan,10018005001,360610000000000
206,Manhattan,10018005003,360610000000000
207,Manhattan,10018005006,360610000000000
208,Manhattan,10018006000,360610000000000
209,Manhattan,10018006001,360610000000000
210,Manhattan,10018007002,360610000000000
211,Manhattan,10018007003,360610000000000
212,Manhattan,10021001000,360610000000000
213,Manhattan,10021001001,360610000000000
214,Manhattan,10021001002,360610000000000
215,Manhattan,10021001003,360610000000000
216,Manhattan,10021001004,360610000000000
217,Manhattan,10021001005,360610000000000
218,Manhattan,10021001006,360610000000000
219,Manhattan,10021002000,360610000000000
220,Manhattan,10021002001,360610000000000
221,Manhattan,10021002002,360610000000000
222,Manhattan,10021002003,360610000000000
223,Manhattan,10021002004,360610000000000
224,Manhattan,10021002005,360610000000000
225,Manhattan,10021003000,360610000000000
226,Manhattan,10021003001,360610000000000
227,Manhattan,10021003002,360610000000000
228,Manhattan,10021003003,360610000000000
229,Manhattan,10021003004,360610000000000
230,Manhattan,10021003005,360610000000000
231,Manhattan,10021003007,360610000000000
232,Manhattan,10021004000,360610000000000
233,Manhattan,10022011000,360610000000000
234,Manhattan,10022011001,360610000000000
235,Manhattan,10022011002,360610000000000
236,Manhattan,10022012000,360610000000000
237,Manhattan,10022012001,360610000000000
238,Manhattan,10022013001,360610000000000
239,Manhattan,10022014001,360610000000000
240,Manhattan,10022021000,360610000000000
241,Manhattan,10022021001,360610000000000
242,Manhattan,10022021002,360610000000000
243,Manhattan,10022021003,360610000000000
244,Manhattan,10024001000,360610000000000
245,Manhattan,10024003001,360610000000000
246,Manhattan,10026011000,360610000000000
247,Manhattan,10026011001,360610000000000
248,Manhattan,10026011002,360610000000000
249,Manhattan,10026012000,360610000000000
250,Manhattan,10026012001,360610000000000
251,Manhattan,10026021000,360610000000000
252,Manhattan,10026021001,360610000000000
253,Manhattan,10026021002,360610000000000
254,Manhattan,10026022000,360610000000000
255,Manhattan,10026023000,360610000000000
256,Manhattan,10026023001,360610000000000
257,Manhattan,10027001000,360610000000000
258,Manhattan,10027001001,360610000000000
259,Manhattan,10027001003,360610000000000
260,Manhattan,10027001005,360610000000000
261,Manhattan,10027001006,360610000000000
262,Manhattan,10028001000,360610000000000
263,Manhattan,10028002000,360610000000000
264,Manhattan,10028002001,360610000000000
265,Manhattan,10028003000,360610000000000
266,Manhattan,10028003001,360610000000000
267,Manhattan,10028004000,360610000000000
268,Manhattan,10028004001,360610000000000
269,Manhattan,10028004004,360610000000000
270,Manhattan,10029012002,360610000000000
271,Manhattan,10029013000,360610000000000
272,Manhattan,10029013001,360610000000000
273,Manhattan,10029013002,360610000000000
274,Manhattan,10029021001,360610000000000
275,Manhattan,10029021002,360610000000000
276,Manhattan,10029022000,360610000000000
277,Manhattan,10029022001,360610000000000
278,Manhattan,10029022002,360610000000000
279,Manhattan,10029022003,360610000000000
280,Manhattan,10029022004,360610000000000
281,Manhattan,10029023000,360610000000000
282,Manhattan,10029025000,360610000000000
283,Manhattan,10030011000,360610000000000
284,Manhattan,10030011001,360610000000000
285,Manhattan,10030011002,360610000000000
286,Manhattan,10030012000,360610000000000
287,Manhattan,10030012001,360610000000000
288,Manhattan,10030012002,360610000000000
289,Manhattan,10030013000,360610000000000
290,Manhattan,10030013001,360610000000000
291,Manhattan,10030014000,360610000000000
292,Manhattan,10030014002,360610000000000
293,Manhattan,10030021000,360610000000000
294,Manhattan,10030021001,360610000000000
295,Manhattan,10030021002,360610000000000
296,Manhattan,10030022000,360610000000000
297,Manhattan,10030022001,360610000000000
298,Manhattan,10030022003,360610000000000
299,Manhattan,10031001000,360610000000000
300,Manhattan,10031001001,360610000000000
301,Manhattan,10031001002,360610000000000
302,Manhattan,10031001003,360610000000000
303,Manhattan,10031001004,360610000000000
304,Manhattan,10031001005,360610000000000
305,Manhattan,10031001006,360610000000000
306,Manhattan,10031001007,360610000000000
307,Manhattan,10031001008,360610000000000
308,Manhattan,10031001009,360610000000000
309,Manhattan,10031001010,360610000000000
310,Manhattan,10031002001,360610000000000
311,Manhattan,10031002003,360610000000000
312,Manhattan,10031002008,360610000000000
313,Manhattan,10032001000,360610000000000
314,Manhattan,10032001001,360610000000000
315,Manhattan,10032002000,360610000000000
316,Manhattan,10032004000,360610000000000
317,Manhattan,10032005000,360610000000000
318,Manhattan,10032006000,360610000000000
319,Manhattan,10032006001,360610000000000
320,Manhattan,10032007002,360610000000000
321,Manhattan,10033001000,360610000000000
322,Manhattan,10033001003,360610000000000
323,Manhattan,10033001004,360610000000000
324,Manhattan,10033001006,360610000000000
325,Manhattan,10033001007,360610000000000
326,Manhattan,10033001008,360610000000000
327,Manhattan,10033001009,360610000000000
328,Manhattan,10033001010,360610000000000
329,Manhattan,10033001011,360610000000000
330,Manhattan,10033001012,360610000000000
331,Manhattan,10033002002,360610000000000
332,Manhattan,10033002003,360610000000000
333,Manhattan,10033002004,360610000000000
334,Manhattan,10033002007,360610000000000
335,Manhattan,10033002008,360610000000000
336,Manhattan,10033002010,360610000000000
337,Manhattan,10033002011,360610000000000
338,Manhattan,10033002012,360610000000000
339,Manhattan,10033002013,360610000000000
340,Manhattan,10033002014,360610000000000
341,Manhattan,10033002016,360610000000000
342,Manhattan,10033002017,360610000000000
343,Manhattan,10033002018,360610000000000
344,Manhattan,10033002019,360610000000000
345,Manhattan,10033003000,360610000000000
346,Manhattan,10033003001,360610000000000
347,Manhattan,10033003002,360610000000000
348,Manhattan,10033003003,360610000000000
349,Manhattan,10033003004,360610000000000
350,Manhattan,10033004000,360610000000000
351,Manhattan,10033004001,360610000000000
352,Manhattan,10033004002,360610000000000
353,Manhattan,10033004003,360610000000000
354,Manhattan,10033004004,360610000000000
355,Manhattan,10033004005,360610000000000
356,Manhattan,10034001000,360610000000000
357,Manhattan,10034001001,360610000000000
358,Manhattan,10034002000,360610000000000
359,Manhattan,10034002001,360610000000000
360,Manhattan,10034003000,360610000000000
361,Manhattan,10034003001,360610000000000
362,Manhattan,10034003002,360610000000000
363,Manhattan,10034004000,360610000000000
364,Manhattan,10034004001,360610000000000
365,Manhattan,10036011000,360610000000000
366,Manhattan,10036011001,360610000000000
367,Manhattan,10036012000,360610000000000
368,Manhattan,10036012001,360610000000000
369,Manhattan,10036013001,360610000000000
370,Manhattan,10036013002,360610000000000
371,Manhattan,10036021000,360610000000000
372,Manhattan,10036021001,360610000000000
373,Manhattan,10036022000,360610000000000
374,Manhattan,10036022001,360610000000000
375,Manhattan,10036022002,360610000000000
376,Manhattan,10036022003,360610000000000
377,Manhattan,10037001000,360610000000000
378,Manhattan,10037001001,360610000000000
379,Manhattan,10037001002,360610000000000
380,Manhattan,10037001009,360610000000000
381,Manhattan,10037001010,360610000000000
382,Manhattan,10037001011,360610000000000
383,Manhattan,10037001012,360610000000000
384,Manhattan,10037001013,360610000000000
385,Manhattan,10037001014,360610000000000
386,Manhattan,10037001015,360610000000000
387,Manhattan,10037001016,360610000000000
388,Manhattan,10037001017,360610000000000
389,Manhattan,10037002000,360610000000000
390,Manhattan,10037002002,360610000000000
391,Manhattan,10037002004,360610000000000
392,Manhattan,10037002005,360610000000000
393,Manhattan,10037003001,360610000000000
394,Manhattan,10037003002,360610000000000
395,Manhattan,10037003003,360610000000000
396,Manhattan,10037003004,360610000000000
397,Manhattan,10037003006,360610000000000
398,Manhattan,10037003007,360610000000000
399,Manhattan,10037003008,360610000000000
400,Manhattan,10037003009,360610000000000
401,Manhattan,10037003010,360610000000000
402,Manhattan,10037003011,360610000000000
403,Manhattan,10037003013,360610000000000
404,Manhattan,10037003015,360610000000000
405,Manhattan,10037003016,360610000000000
406,Manhattan,10037003017,360610000000000
407,Manhattan,10038001000,360610000000000
408,Manhattan,10038001001,360610000000000
409,Manhattan,10038001002,360610000000000
410,Manhattan,10038001003,360610000000000
411,Manhattan,10038003001,360610000000000
412,Manhattan,10038004000,360610000000000
413,Manhattan,10038005000,360610000000000
414,Manhattan,10038005001,360610000000000
415,Manhattan,10038006000,360610000000000
416,Manhattan,10038007000,360610000000000
417,Manhattan,10038007001,360610000000000
418,Manhattan,10039001002,360610000000000
419,Manhattan,10039001003,360610000000000
420,Manhattan,10039001004,360610000000000
421,Manhattan,10039001006,360610000000000
422,Manhattan,10039001007,360610000000000
423,Manhattan,10039001008,360610000000000
424,Manhattan,10039001012,360610000000000
425,Manhattan,10039001013,360610000000000
426,Manhattan,10039001014,360610000000000
427,Manhattan,10039001015,360610000000000
428,Manhattan,10039001016,360610000000000
429,Manhattan,10039001017,360610000000000
430,Manhattan,10039001018,360610000000000
431,Manhattan,10039001019,360610000000000
432,Manhattan,10039001020,360610000000000
433,Manhattan,10039001021,360610000000000
434,Manhattan,10039002003,360610000000000
435,Manhattan,10039002004,360610000000000
436,Manhattan,10039003000,360610000000000
437,Manhattan,10039003001,360610000000000
438,Manhattan,10039003002,360610000000000
439,Manhattan,10039003003,360610000000000
440,Manhattan,10039003004,360610000000000
441,Manhattan,10039003005,360610000000000
442,Manhattan,10039003006,360610000000000
443,Manhattan,10039003007,360610000000000
444,Manhattan,10039003008,360610000000000
445,Manhattan,10039003010,360610000000000
446,Manhattan,10039004000,360610000000000
447,Manhattan,10040011000,360610000000000
448,Manhattan,10040012000,360610000000000
449,Manhattan,10040012001,360610000000000
450,Manhattan,10040013000,360610000000000
451,Manhattan,10040013001,360610000000000
452,Manhattan,10040021000,360610000000000
453,Manhattan,10040022000,360610000000000
454,Manhattan,10040023000,360610000000000
455,Manhattan,10040024000,360610000000000
456,Manhattan,10040024001,360610000000000
457,Manhattan,10040024002,360610000000000
458,Manhattan,10041001000,360610000000000
459,Manhattan,10041001001,360610000000000
460,Manhattan,10041001003,360610000000000
461,Manhattan,10041001004,360610000000000
462,Manhattan,10041001005,360610000000000
463,Manhattan,10041002000,360610000000000
464,Manhattan,10041002001,360610000000000
465,Manhattan,10041002002,360610000000000
466,Manhattan,10041003001,360610000000000
467,Manhattan,10041003002,360610000000000
468,Manhattan,10041004001,360610000000000
469,Manhattan,10041004002,360610000000000
470,Manhattan,10041005000,360610000000000
471,Manhattan,10041005001,360610000000000
472,Manhattan,10041005002,360610000000000
473,Manhattan,10041005003,360610000000000
474,Manhattan,10041005004,360610000000000
475,Manhattan,10041005005,360610000000000
476,Manhattan,10041006000,360610000000000
477,Manhattan,10041006001,360610000000000
478,Manhattan,10041006002,360610000000000
479,Manhattan,10041006005,360610000000000
480,Manhattan,10042001000,360610000000000
481,Manhattan,10042001001,360610000000000
482,Manhattan,10042001002,360610000000000
483,Manhattan,10042002000,360610000000000
484,Manhattan,10042002001,360610000000000
485,Manhattan,10042002002,360610000000000
486,Manhattan,10042003000,360610000000000
487,Manhattan,10042003001,360610000000000
488,Manhattan,10042003002,360610000000000
489,Manhattan,10043001000,360610000000000
490,Manhattan,10043001001,360610000000000
491,Manhattan,10043001002,360610000000000
492,Manhattan,10043001003,360610000000000
493,Manhattan,10043001004,360610000000000
494,Manhattan,10043002000,360610000000000
495,Manhattan,10043002001,360610000000000
496,Manhattan,10043003000,360610000000000
497,Manhattan,10043003001,360610000000000
498,Manhattan,10043003003,360610000000000
499,Manhattan,10043003004,360610000000000
500,Manhattan,10043003005,360610000000000
501,Manhattan,10043003006,360610000000000
502,Manhattan,10044001000,360610000000000
503,Manhattan,10044001001,360610000000000
504,Manhattan,10044001002,360610000000000
505,Manhattan,10044002002,360610000000000
506,Manhattan,10044003000,360610000000000
507,Manhattan,10044004000,360610000000000
508,Manhattan,10044006004,360610000000000
509,Manhattan,10044007000,360610000000000
510,Manhattan,10045001001,360610000000000
511,Manhattan,10045001002,360610000000000
512,Manhattan,10045001003,360610000000000
513,Manhattan,10045001004,360610000000000
514,Manhattan,10045001005,360610000000000
515,Manhattan,10045001006,360610000000000
516,Manhattan,10045001007,360610000000000
517,Manhattan,10045001008,360610000000000
518,Manhattan,10045001009,360610000000000
519,Manhattan,10045001010,360610000000000
520,Manhattan,10045001011,360610000000000
521,Manhattan,10047001000,360610000000000
522,Manhattan,10047001001,360610000000000
523,Manhattan,10047001002,360610000000000
524,Manhattan,10047001003,360610000000000
525,Manhattan,10047002000,360610000000000
526,Manhattan,10047002001,360610000000000
527,Manhattan,10047002002,360610000000000
528,Manhattan,10047002004,360610000000000
529,Manhattan,10047002005,360610000000000
530,Manhattan,10047002006,360610000000000
531,Manhattan,10047002007,360610000000000
532,Manhattan,10047002008,360610000000000
533,Manhattan,10047002009,360610000000000
534,Manhattan,10047002010,360610000000000
535,Manhattan,10047002011,360610000000000
536,Manhattan,10047002012,360610000000000
537,Manhattan,10047002013,360610000000000
538,Manhattan,10047002014,360610000000000
539,Manhattan,10048001000,360610000000000
540,Manhattan,10048002000,360610000000000
541,Manhattan,10048003000,360610000000000
542,Manhattan,10048003001,360610000000000
543,Manhattan,10048004000,360610000000000
544,Manhattan,10049001000,360610000000000
545,Manhattan,10049001001,360610000000000
546,Manhattan,10049001002,360610000000000
547,Manhattan,10049001003,360610000000000
548,Manhattan,10049001004,360610000000000
549,Manhattan,10049001005,360610000000000
550,Manhattan,10049001006,360610000000000
551,Manhattan,10049001007,360610000000000
552,Manhattan,10049001008,360610000000000
553,Manhattan,10049001009,360610000000000
554,Manhattan,10049001010,360610000000000
555,Manhattan,10049001011,360610000000000
556,Manhattan,10049002000,360610000000000
557,Manhattan,10049002001,360610000000000
558,Manhattan,10049002002,360610000000000
559,Manhattan,10049002003,360610000000000
560,Manhattan,10049003000,360610000000000
561,Manhattan,10049003001,360610000000000
562,Manhattan,10049003002,360610000000000
563,Manhattan,10050001000,360610000000000
564,Manhattan,10050001001,360610000000000
565,Manhattan,10050001002,360610000000000
566,Manhattan,10050002000,360610000000000
567,Manhattan,10050002001,360610000000000
568,Manhattan,10050002002,360610000000000
569,Manhattan,10050003000,360610000000000
570,Manhattan,10050003001,360610000000000
571,Manhattan,10050004000,360610000000000
572,Manhattan,10050005000,360610000000000
573,Manhattan,10050005002,360610000000000
574,Manhattan,10050005004,360610000000000
575,Manhattan,10050005005,360610000000000
576,Manhattan,10052001000,360610000000000
577,Manhattan,10052001001,360610000000000
578,Manhattan,10052001002,360610000000000
579,Manhattan,10052001003,360610000000000
580,Manhattan,10052001004,360610000000000
581,Manhattan,10052002000,360610000000000
582,Manhattan,10052002001,360610000000000
583,Manhattan,10052002002,360610000000000
584,Manhattan,10052002003,360610000000000
585,Manhattan,10052002004,360610000000000
586,Manhattan,10052002005,360610000000000
587,Manhattan,10052002006,360610000000000
588,Manhattan,10054001000,360610000000000
589,Manhattan,10054001001,360610000000000
590,Manhattan,10054001002,360610000000000
591,Manhattan,10054001003,360610000000000
592,Manhattan,10054001004,360610000000000
593,Manhattan,10054001005,360610000000000
594,Manhattan,10054002000,360610000000000
595,Manhattan,10054003000,360610000000000
596,Manhattan,10055011000,360610000000000
597,Manhattan,10055011001,360610000000000
598,Manhattan,10055011002,360610000000000
599,Manhattan,10055011004,360610000000000
600,Manhattan,10055011007,360610000000000
601,Manhattan,10055012000,360610000000000
602,Manhattan,10055012001,360610000000000
603,Manhattan,10055021002,360610000000000
604,Manhattan,10055021003,360610000000000
605,Manhattan,10055022000,360610000000000
606,Manhattan,10055022001,360610000000000
607,Manhattan,10055022002,360610000000000
608,Manhattan,10055022003,360610000000000
609,Manhattan,10055022004,360610000000000
610,Manhattan,10055022005,360610000000000
611,Manhattan,10055022006,360610000000000
612,Manhattan,10055022007,360610000000000
613,Manhattan,10055022008,360610000000000
614,Manhattan,10055022009,360610000000000
615,Manhattan,10055022010,360610000000000
616,Manhattan,10056001000,360610000000000
617,Manhattan,10056001001,360610000000000
618,Manhattan,10056001002,360610000000000
619,Manhattan,10056001003,360610000000000
620,Manhattan,10056001004,360610000000000
621,Manhattan,10056001005,360610000000000
622,Manhattan,10056001006,360610000000000
623,Manhattan,10056002000,360610000000000
624,Manhattan,10056002002,360610000000000
625,Manhattan,10056002003,360610000000000
626,Manhattan,10056003000,360610000000000
627,Manhattan,10056003001,360610000000000
628,Manhattan,10057001001,360610000000000
629,Manhattan,10057001004,360610000000000
630,Manhattan,10057002000,360610000000000
631,Manhattan,10057002001,360610000000000
632,Manhattan,10057002003,360610000000000
633,Manhattan,10057002004,360610000000000
634,Manhattan,10057002005,360610000000000
635,Manhattan,10058001000,360610000000000
636,Manhattan,10058001001,360610000000000
637,Manhattan,10058001002,360610000000000
638,Manhattan,10058001003,360610000000000
639,Manhattan,10058001004,360610000000000
640,Manhattan,10058002000,360610000000000
641,Manhattan,10058002001,360610000000000
642,Manhattan,10058002002,360610000000000
643,Manhattan,10058003000,360610000000000
644,Manhattan,10058003001,360610000000000
645,Manhattan,10058003002,360610000000000
646,Manhattan,10059001000,360610000000000
647,Manhattan,10059001001,360610000000000
648,Manhattan,10059002000,360610000000000
649,Manhattan,10059002001,360610000000000
650,Manhattan,10059003000,360610000000000
651,Manhattan,10059003001,360610000000000
652,Manhattan,10059003003,360610000000000
653,Manhattan,10059003004,360610000000000
654,Manhattan,10059003005,360610000000000
655,Manhattan,10059004000,360610000000000
656,Manhattan,10059005000,360610000000000
657,Manhattan,10061001000,360610000000000
658,Manhattan,10061001001,360610000000000
659,Manhattan,10061001002,360610000000000
660,Manhattan,10061001003,360610000000000
661,Manhattan,10061001004,360610000000000
662,Manhattan,10061002000,360610000000000
663,Manhattan,10061002001,360610000000000
664,Manhattan,10061003000,360610000000000
665,Manhattan,10061003001,360610000000000
666,Manhattan,10061003002,360610000000000
667,Manhattan,10061003003,360610000000000
668,Manhattan,10061003004,360610000000000
669,Manhattan,10062001000,360610000000000
670,Manhattan,10062001001,360610000000000
671,Manhattan,10062001002,360610000000000
672,Manhattan,10062002000,360610000000000
673,Manhattan,10063001000,360610000000000
674,Manhattan,10063001001,360610000000000
675,Manhattan,10063002000,360610000000000
676,Manhattan,10063002001,360610000000000
677,Manhattan,10063003000,360610000000000
678,Manhattan,10063003001,360610000000000
679,Manhattan,10063004000,360610000000000
680,Manhattan,10063005000,360610000000000
681,Manhattan,10063005001,360610000000000
682,Manhattan,10064001000,360610000000000
683,Manhattan,10064001001,360610000000000
684,Manhattan,10064002000,360610000000000
685,Manhattan,10064002001,360610000000000
686,Manhattan,10064002002,360610000000000
687,Manhattan,10064003000,360610000000000
688,Manhattan,10064004000,360610000000000
689,Manhattan,10064005000,360610000000000
690,Manhattan,10064006000,360610000000000
691,Manhattan,10065001000,360610000000000
692,Manhattan,10065001001,360610000000000
693,Manhattan,10065001002,360610000000000
694,Manhattan,10065001003,360610000000000
695,Manhattan,10065001004,360610000000000
696,Manhattan,10065001005,360610000000000
697,Manhattan,10065001006,360610000000000
698,Manhattan,10065001007,360610000000000
699,Manhattan,10065001008,360610000000000
700,Manhattan,10065002000,360610000000000
701,Manhattan,10065002002,360610000000000
702,Manhattan,10065003002,360610000000000
703,Manhattan,10065003003,360610000000000
704,Manhattan,10065003004,360610000000000
705,Manhattan,10065003005,360610000000000
706,Manhattan,10065004000,360610000000000
707,Manhattan,10065004001,360610000000000
708,Manhattan,10065005000,360610000000000
709,Manhattan,10065005001,360610000000000
710,Manhattan,10066001000,360610000000000
711,Manhattan,10066002000,360610000000000
712,Manhattan,10066003000,360610000000000
713,Manhattan,10066003001,360610000000000
714,Manhattan,10066004000,360610000000000
715,Manhattan,10066005000,360610000000000
716,Manhattan,10066006000,360610000000000
717,Manhattan,10066007000,360610000000000
718,Manhattan,10066008000,360610000000000
719,Manhattan,10066008001,360610000000000
720,Manhattan,10066008002,360610000000000
721,Manhattan,10066009000,360610000000000
722,Manhattan,10067001000,360610000000000
723,Manhattan,10067001001,360610000000000
724,Manhattan,10067001002,360610000000000
725,Manhattan,10067002001,360610000000000
726,Manhattan,10067002002,360610000000000
727,Manhattan,10067002003,360610000000000
728,Manhattan,10067002004,360610000000000
729,Manhattan,10067003001,360610000000000
730,Manhattan,10067003002,360610000000000
731,Manhattan,10067003003,360610000000000
732,Manhattan,10067004000,360610000000000
733,Manhattan,10067004001,360610000000000
734,Manhattan,10067004002,360610000000000
