field_number,field_name,field_label,field_length,start_index,end_index,justify_and_fill,blank_if_none
L82,right_2000_census_block_basic,RIGHT CENSUS BLOCK 2000 BASIC,4,277,280,RJSF,FALSE
L83,right_2000_census_block_suffix,RIGHT CENSUS BLOCK 2000 SUFFIX,1,281,281,RJSF,FALSE
L84,left_2010_census_block_basic,LEFT CENSUS BLOCK 2010 BASIC,4,282,285,RJSF,FALSE
L85,left_2010_census_block_suffix,LEFT CENSUS BLOCK 2010 SUFFIX,1,286,286,RJSF,FALSE
L86,right_2010_census_block_basic,RIGHT CENSUS BLOCK 2010 BASIC,4,287,290,RJSF,FALSE
L87,right_2010_census_block_suffix,RIGHT CENSUS BLOCK 2010 SUFFIX,1,291,291,RJSF,FALSE
L88,snow_priority,SNOW PRIORITY,1,292,292,RJSF,FALSE
L69_2,bike_lane_2,BIKELANE_2,2,293,294,RJSF,FALSE
L67_2,streetwidth_max,STREET WIDTH MAX,3,295,297,RJSF,FALSE
L89,filler_l89,Filler L89,3,298,300,RJSF,FALSE
L90,l_blockfaceid,Left BLOCKFACEID,10,301,310,RJZF,TRUE
L91,r_blockfaceid,Right BLOCKFACEID,10,311,320,RJZF,TRUE
L92,number_travel_lanes,NUMBER TRAVEL LANES,2,321,322,RJSF,FALSE
L93,number_park_lanes,NUMBER PARK LANES,2,323,324,RJSF,FALSE
L94,number_total_lanes,NUMBER TOTAL LANES,2,325,326,RJSF,FALSE
L95,bike_traffic_direction,BIKE TRAFFIC DIR,2,327,328,RJSF,FALSE
L96,posted_speed,POSTED SPEED,2,329,330,RJSF,FALSE
L97,left_nypd_service_area,Left NYPD Service Area,1,331,331,RJSF,FALSE
L98,right_nypd_service_area,Right NYPD Service Area,1,332,332,RJSF,FALSE
L99,truck_route_type,Truck Route Type,1,333,333,RJSF,FALSE
L100,left_2020_census_tract_basic,LEFT 2020 CENSUS TRACT Basic,4,334,337,RJSF,FALSE
L100,left_2020_census_tract_suffix,LEFT 2020 CENSUS TRACT Suffix,2,338,339,RJZF,TRUE
L101,right_2020_census_tract_basic,RIGHT 2020 CENSUS TRACT Basic,4,340,343,RJSF,FALSE
L101,right_2020_census_tract_suffix,RIGHT 2020 CENSUS TRACT Suffix,2,344,345,RJZF,TRUE
L102,left_2020_census_block_basic,LEFT CENSUS BLOCK 2020 BASIC,4,346,349,RJSF,FALSE
L103,left_2020_census_block_suffix,LEFT CENSUS BLOCK 2020 SUFFIX,1,350,350,RJSF,FALSE
L104,right_2020_census_block_basic,RIGHT CENSUS BLOCK 2020 BASIC,4,351,354,RJSF,FALSE
L105,right_2020_census_block_suffix,RIGHT CENSUS BLOCK 2020 SUFFIX,1,355,355,RJSF,FALSE
L199,filler_l199,Filler L199,45,356,400,RJSF,FALSE
