flag_id_field_name,variable_label,variable_type,dataset,join_to_lots,buffer_ft,type_ii_criteria_description
historic_resources,NYC Historic Buildings,nyc_historic_buildings,lpc_landmarks,TRUE,0,
historic_resources,State Historic Buildings,nys_historic_buildings,nysshpo_historic_buildings_points,TRUE,0,
historic_resources_adj,City Historic Buildings,nyc_historic_buildings,lpc_landmarks,TRUE,90,
historic_resources_adj,State Historic Buildings,nys_historic_buildings,nysshpo_historic_buildings_points,TRUE,90,
shadow_open_spaces,DPR Parks properties,nyc_parks_properties,dpr_parksproperties,FALSE,200,
shadow_open_spaces,Schoolyard-to-playground,schoolyard_to_playgrounds,dpr_schoolyard_to_playgrounds,FALSE,200,
shadow_open_spaces,POPS,pops,dcp_pops,TRUE,200,
shadow_open_spaces,Waterfront Public Access Areas,waterfront_access_wpaa,dcp_waterfront_access_map_wpaa,FALSE,200,
shadow_open_spaces,Publicly Owned Waterfront,waterfront_access_pow,dcp_waterfront_access_map_pow,FALSE,200,
shadow_open_spaces,NYS Parks Property,nys_parks_properties,nysparks_parks_polygons,FALSE,200,
shadow_open_spaces,Federal Parks property,us_parks_properties,usnps_parks,FALSE,200,
shadow_nat_resources,NYC Parks Forever Wild,forever_wild,dcp_beaches,FALSE,200,
shadow_nat_resources,State Regulated Freshwater Wetlands,freshwater_wetlands,dpr_forever_wild,FALSE,200,
shadow_nat_resources,State Regulated Tidal Wetlands,tidal_wetlands,nysdec_freshwater_wetlands,FALSE,200,
shadow_nat_resources,Priority Waterbodies - Lakes,priority_waterbodies_lakes,nysdec_natural_heritage_communities,FALSE,200,
shadow_nat_resources,Priority Waterbodies - Estuaries,priority_waterbodies_estuaries,nysdec_priority_lakes,FALSE,200,
shadow_nat_resources,Priority Waterbodies - Streams,priority_waterbodies_streams,nysdec_priority_estuaries,FALSE,200,
shadow_nat_resources,Beaches,beaches,nysdec_priority_streams,FALSE,200,
shadow_nat_resources,Significant Natural Communities,natural_heritage_communities,nysdec_tidal_wetlands,FALSE,200,
shadow_nat_resources,National Wetlands,usfws_wetlands,usfws_nyc_wetlands,FALSE,200,
shadow_nat_resources,Recognized Ecological Complexes,rec,dcp_wrp_rec,FALSE,200,
shadow_nat_resources,Special Natural Waterfront Areas,snwa,dcp_wrp_snwa,FALSE,200,
shadow_nat_resources,DOB Coastal Erosion Hazard Area,dob_coastal_erosion_hazard_area,dob_natural_resource_check_flags,TRUE,200,
shadow_nat_resources,DOB Freshwater Wetland,dob_freshwater_wetland,dob_natural_resource_check_flags,TRUE,200,
shadow_nat_resources,DOB Tidal Wetland,dob_tidal_wetland,dob_natural_resource_check_flags,TRUE,200,
shadow_hist_resources,NYC Historic Buildings,nyc_historic_buildings,lpc_landmarks,TRUE,200,
shadow_hist_resources,State Historic Buildings,nys_historic_buildings,nysshpo_historic_buildings_points,TRUE,200,
