the_geom,DOB_Job1,project_id,project_name,project_start_date,project_completion_date,Project_Building_ID,Building_id_current,Building_ID_init,number,street,borough,postcode,bbl,bin,community_board,council_district,census_tract,nta___neighborhood_tabulation_area,latitude,longitude,latitude_internal,longitude_internal,building_completion_date,reporting_construction_type,prevailing_wage_status,Planned Tax Benefit,extremely_low_income_units,very_low_income_units,low_income_units,moderate_income_units,middle_income_units,other_income_units,studio_units,_1_br_units,_2_br_units,_3_br_units,_4_br_units,_5_br_units,_6_br_units,unknown_br_units,counted_rental_units,counted_homeownership_units,all_counted_units,total_units,bin_dcp,bbl_dcp,Comment,HNY_Version,dob_job_num_source,DOB_Job1,DOB_Job2,DOB_Job3,HNY_to_Job_relat,Q_Year,DOB_TYPE,units_dev_Data
0101000020E6100000E29FA56DB47B52C0BEBB3A6CC7624440,420804080,65111,11-07 WELLING COURT,6/30/16,,65111703413,703413,,7-Nov,WELLING COURT,Queens,11102,4005070019,4005070019,QN-01,22,81,QN71,40.77180167,-73.93321592,40.7717109,-73.93288747,,New Construction,Non Prevailing Wage,421a,0,0,6,0,0,0,0,6,0,0,0,0,0,0,6,0,6,27,,4005070019,,3162018,BBLOnly,420804080,,,1-to-1,2015,NB,28
,321128999,66268,1134 FULTON STREET,3/15/18,,66268981735,981735,,1134,FULTON STREET,Brooklyn,11216,3020170008,3057751,BK-03,36,227,BK69,40.68108723,-73.95548016,40.68071108,-73.95519558,,New Construction,Non Prevailing Wage,421a,0,0,37,0,0,0,7,27,1,2,0,0,0,0,37,0,37,182,,,Permit Has 116,5032018,Bill_Manual,321128999,,,1-to-1,2015,NB,116
0101000020E610000049EF9F97DF7B52C06E03B14BD8594440,321087131,65573,115 STANWIX STREET,12/22/17,,65573978595,978595,,115,STANWIX STREET,Brooklyn,11206,3031390021,,BK-04,34,391,BK78,40.70222885,-73.93531251,40.70191332,-73.93552199,,New Construction,Non Prevailing Wage,421a,0,0,16,0,0,0,0,11,3,2,0,0,0,0,16,0,16,136,,3031390021,,3162018,BBLOnly,321087131,,,1-to-1,2015,NB,136
0101000020E6100000BCEAE0E4A77C52C0390FA3F7F8594440,320822053,65115,116 WALTON LLC,9/20/16,11/9/17,65115387813,387813,,116,WALTON STREET,Brooklyn,11206,3022507502,3414244,BK-01,33,507,BK75,40.70299836,-73.94806475,40.70291038,-73.94774744,11/9/17,New Construction,Non Prevailing Wage,421a,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,3414244,3022507502,,3162018,BINandBBL,320822053,,,1-to-1,2014,NB,5
0101000020E6100000AD8C80E9788052C03D585230DB5A4440,121333440,53498,118 Fulton Street,5/8/15,,53498966480,966480,,118,FULTON STREET,Manhattan,10038,1000780047,,MN-01,1,1502,MN25,40.71003918,-74.00740516,40.70981411,-74.00737989,,New Construction,Non Prevailing Wage,421a,0,0,97,0,0,0,31,56,10,0,0,0,0,0,97,0,97,483,,1000780047,,3162018,BBLOnly,121333440,,,1-to-1,2015,NB,483
0101000020E61000000162B774F17952C026B77925416A4440,220152698,61903,1193 FULTON AVENUE,7/27/17,,61903973245,973245,,1193,FULTON AVENUE,Bronx,10456,2026090041,2004216,BX-03,16,145,BX01,40.829992,-73.90494331,40.83011311,-73.9053623,,New Construction,Non Prevailing Wage,420c,0,8,16,0,0,1,11,7,7,0,0,0,0,0,25,0,25,25,2004216,2026090041,,3162018,BINandBBL,220152698,,,1-to-1,2017,NB,25
0101000020E6100000F56E24B7437B52C0D1BABA2195584440,320491115,65133,1223 BROADWAY,1/22/15,11/14/17,65133953843,953843,,1223,BROADWAY,Brooklyn,11221,3032830009,3422191,BK-04,34,395,BK78,40.6918701,-73.92619574,40.69205114,-73.92600802,11/14/17,New Construction,Non Prevailing Wage,421a,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,2,7,3422191,3032830009,,3162018,BINandBBL,320491115,,,1-to-1,2013,NB,7
0101000020E6100000D30F4D4D007D52C0D55E44DB315B4440,320625436,61655,123 HOPE STREET,2/2/17,,61655972972,972972,,123,HOPE STREET,Brooklyn,11211,3023740031,3062547,BK-01,34,513,BK73,40.71229437,-73.95329504,40.712459,-73.95314343,,New Construction,Non Prevailing Wage,421a,0,0,19,0,0,0,4,5,10,0,0,0,0,0,19,0,19,131,3062547,3023740031,,3162018,Amanda_Manual,320625436,,,1-to-1,2015,A1,131
0101000020E610000015FF7744057A52C0D857683142584440,320444024,65132,1238 DECATUR STREET,12/17/14,10/4/17,65132952454,952454,,1238,DECATUR STREET,Brooklyn,11207,3034350028,3079751,BK-04,37,411,BK78,40.68956959,-73.90674812,40.68952005,-73.9065715,10/4/17,New Construction,Non Prevailing Wage,421a,0,0,3,0,0,0,0,1,2,0,0,0,0,0,3,0,3,15,3079751,3034350028,,3162018,BINandBBL,320444024,,,1-to-1,2013,NB,15
0101000020E6100000669D75B6157D52C02AB10851005B4440,320613494,52115,125 BORINQUEN PLACE,6/16/16,,52115953916,953916,,125,GRAND ST EXTENSION,Brooklyn,11211,3024110001,3063034,BK-01,34,513,BK73,40.71060145,-73.95478954,40.71094716,-73.95445024,,New Construction,Non Prevailing Wage,421a,0,0,25,0,0,0,6,5,14,0,0,0,0,0,25,0,25,125,,3024110001,,3162018,Amanda_Manual,320613494,,,1-to-1,2015,NB,133
0101000020E61000008EFE9FDC997D52C052810F35BC5B4440,320626765,52790,125 Metropolitan Avenue,9/16/15,,52790955836,955836,,84,NORTH 3 STREET,Brooklyn,11249,3023580006,3329985,BK-01,34,555,BK73,40.71696928,-73.96238234,40.71668113,-73.96251598,,New Construction,Non Prevailing Wage,421a,0,0,15,0,0,0,7,5,3,0,0,0,0,0,15,0,15,75,,3023580006,,3162018,BBLOnly,320626765,,,1-to-1,2015,NB,75
0101000020E610000016F761B5207D52C0FD934B25B45D4440,320766328,65064,126 INDIA REALTY LLC,11/4/16,10/16/17,65064951678,951678,,126,INDIA STREET,Brooklyn,11222,3025400036,,BK-01,33,565,BK76,40.73223589,-73.95544238,40.73206011,-73.95512137,10/16/17,New Construction,Non Prevailing Wage,421a,0,0,2,0,0,0,1,1,0,0,0,0,0,0,2,0,2,8,,3025400036,,3162018,BBLOnly,320766328,,,1-to-1,2013,NB,8
0101000020E6100000BA5E81855F7C52C038EB9D1B645A4440,320869495,65066,127 GRAHAM AVENUE LLC,10/13/15,1/27/17,65066301960,301960,,127,GRAHAM AVENUE,Brooklyn,11206,3030700023,3325867,BK-01,34,505,BK90,40.7061799,-73.9430272,40.70618005,-73.94333017,1/27/17,New Construction,Non Prevailing Wage,421a,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,5,3325867,3030700023,,3162018,BINandBBL,320869495,,,1-to-1,2015,A1,5
0101000020E610000083AF5C2D7F7952C00E27591C086A4440,220404925,65102,1319 PROSPECT AVENUE,3/21/17,,65102969740,969740,,1319A,PROSPECT AVENUE,Bronx,10459,2026810024,2127040,BX-03,17,135,BX35,40.82836671,-73.89802233,40.82837252,-73.89838728,,New Construction,Non Prevailing Wage,421a,0,0,3,0,0,0,0,3,0,0,0,0,0,0,3,0,3,14,2127040,2026810024,,3162018,Amanda_Manual,220404925,220404934,0,1-to-many,2015,NB,7
,220152803,63014,1325 SOUTHERN BOULEVARD,1/18/18,,63014975336,975336,,1325,SOUTHERN BOULEVARD,Bronx,10459,2029760098,2010494,BX-03,17,123,BX75,40.83108351,-73.89149208,40.83134997,-73.89173014,,New Construction,Non Prevailing Wage,420c,0,12,18,0,0,1,5,10,12,4,0,0,0,0,31,0,31,31,,,Plan Approved OCT 2017,5032018,Bill_Manual,220152803,,,1-to-1,0,NB,31
0101000020E610000052DC4CE0F17C52C0B5D5F6C058624440,122760654,49279,1402 YORK AVENUE,5/23/17,,49279948086,948086,,1402,YORK AVENUE,Manhattan,10021,1014860004,1046294,MN-08,5,132,MN31,40.76852852,-73.95251191,40.76833355,-73.95226295,,New Construction,Non Prevailing Wage,Article XI ,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,10,10,11,1046294,1014860004,,3162018,BINandBBL,122760654,,,1-to-1,0,NB,11
0101000020E6100000CA465298D87852C086197D793F6A4440,220446293,65103,1417 LONGFELLOW AVENUE,4/26/17,,6510392414,92414,,1417,LONGFELLOW AVENUE,Bronx,10459,2029990042,2128697,BX-03,17,123,BX75,40.83017427,-73.88785837,40.83006209,-73.88821991,,New Construction,Non Prevailing Wage,421a,0,0,8,0,0,0,0,4,4,0,0,0,0,0,8,0,8,38,2128697,2029990042,,3162018,BINandBBL,220446293,,,1-to-1,2015,NB,38
0101000020E610000067D49DA3657D52C0B1A3B3C4B15D4440,320909479,65246,144-146 WEST STREET,11/9/17,,65246969912,969912,,144,WEST STREET,Brooklyn,11222,3025310001,,BK-01,33,563,BK76,40.73195746,-73.95959919,40.73198756,-73.95932856,,New Construction,Non Prevailing Wage,421a,0,0,4,0,0,0,0,2,2,0,0,0,0,0,4,0,4,22,,3025310001,,3162018,BBLOnly,320909479,,,1-to-1,2017,NB,22
0101000020E6100000144073CEF67E52C094A531B5805F4440,121193065,59387,145 Madison Avenue,8/1/16,,59387968963,968963,,145,MADISON AVENUE,Manhattan,10016,1008610059,1016998,MN-05,2,74,MN17,40.74623616,-73.98405925,40.74611535,-73.98381387,,New Construction,Non Prevailing Wage,421a,0,0,4,0,0,0,1,3,0,0,0,0,0,0,4,0,4,70,1016998,1008610059,,3162018,BINandBBL,121193065,,,1-to-1,2016,NB,71
0101000020E61000009256218A2E8052C02E498E096B604440,121184208,59827,15 Hudson Yards Apartments,11/23/15,,59827966743,966743,,553,WEST 30 STREET,Manhattan,10001,1007027502,,MN-04,,99,MN13,40.75272856,-74.00254095,40.75326652,-74.00284055,,New Construction,Non Prevailing Wage,421a,0,0,106,0,0,0,24,29,53,0,0,0,0,0,106,0,106,106,,1007027502,"Hudson Yards building, 285 unit condo +106 rental.",3162018,Amanda_Manual,121184208,,,1-to-1,2014,NB,392
0101000020E610000057CD5236157D52C00B0810B2EA554440,320592587,52320,1515 Bedford Avenue,12/29/14,,52320955798,955798,,1515,BEDFORD AVENUE,Brooklyn,11216,3012530001,3032187,BK-08,35,219,BK61,40.67117287,-73.95487755,40.67122484,-73.95441969,,New Construction,Non Prevailing Wage,421a,0,0,28,0,0,0,7,7,14,0,0,0,0,0,28,0,28,142,3032187,3012530001,IH,3162018,Amanda_Manual,320592587,,,1-to-1,2015,NB,114
0101000020E6100000EDA2222D197D52C0808351A4D6554440,320622787,57864,1519-1535 Bedford Avenue,4/28/16,,57864966686,966686,,1535,BEDFORD AVENUE,Brooklyn,11216,3012600001,3425089,BK-08,35,219,BK61,40.67042639,-73.95514842,40.67061285,-73.95466164,,New Construction,Non Prevailing Wage,421a,0,0,35,0,0,0,5,23,7,0,0,0,0,0,35,0,35,175,3425089,3012600001,IH,3162018,Amanda_Manual,320622787,,,1-to-1,2015,NB,186
0101000020E6100000D4B57A77797A52C0BDD11AC5EA6B4440,220151519,49607,1561 WALTON AVENUE,6/30/15,,49607954885,954885,,1561,WALTON AVENUE,Bronx,10452,2028450047,2128647,BX-04,14,209,BX63,40.84300044,-73.91349762,40.84310211,-73.91366374,,New Construction,Non Prevailing Wage,420c,8,28,23,0,0,1,1,19,31,9,0,0,0,0,60,0,60,60,2128647,2028450047,,3162018,BINandBBL,220151519,,,1-to-1,2015,NB,60
,320711379,67006,16 CHARLES PLACE,2/12/18,,67006218892,218892,,16,CHARLES PLACE,Brooklyn,11221,3031830066,,BK-04,34,391,BK78,40.69784883,-73.93164551,40.69799146,-73.93147226,,New Construction,Non Prevailing Wage,421a,0,0,8,0,0,0,2,2,4,0,0,0,0,0,8,0,8,39,,,0,5032018,Bill_Manual,320711379,,,1-to-1,2015,NB,39
0101000020E6100000D2EF2D72B07C52C0A3E0CE2AD8644440,110138271,54807,166 East 100th Street,4/11/16,,54807836062,836062,,166,EAST 100 STREET,Manhattan,10029,1016270043,1051776,MN-11,5,166,MN33,40.78816263,-73.94845333,40.7878469,-73.94826941,,New Construction,Non Prevailing Wage,Article XI,0,0,11,0,0,0,1,10,0,0,0,0,0,0,11,0,11,11,1051776,1016270043,,3162018,BINandBBL,110138271,,,1-to-1,2008,NB,11
0101000020E6100000F5250272557C52C08BDB0D477C664440,121600963,65090,1674 PARK AVENUE APARTMENTS,4/22/16,,65090956931,956931,,1674,PARK AVENUE,Manhattan,10035,1016230040,1051691,MN-11,9,184,MN34,40.80046987,-73.94238665,40.80066765,-73.94271517,,New Construction,Non Prevailing Wage,421a,0,0,3,0,0,0,3,0,0,0,0,0,0,0,3,0,3,13,1051691,1016230040,,3162018,BINandBBL,121600963,,,1-to-1,2013,NB,13
0101000020E6100000DB31D881B17A52C0D48C981B846C4440,220285938,65091,1690 NELSON AVE,8/14/14,,65091948586,948586,,1690,NELSON AVENUE,Bronx,10453,2028760167,2124373,BX-05,14,21502,BX36,40.84808907,-73.9171597,40.84778161,-73.91708418,,New Construction,Non Prevailing Wage,421a,0,0,7,0,0,0,0,3,4,0,0,0,0,0,7,0,7,33,2124373,2028760167,,3162018,BINandBBL,220285938,,,1-to-1,2013,NB,33
0101000020E6100000041C42951A7D52C0D2210DFA145C4440,320596057,53166,174 North 11th Street,5/21/15,10/16/17,53166976705,976705,,174,NORTH 11 STREET,Brooklyn,11211,3022980013,3424774,BK-01,33,517,BK73,40.71962618,-73.95468601,40.71939016,-73.9547475,10/16/17,New Construction,Non Prevailing Wage,421a,0,0,10,0,0,0,2,3,5,0,0,0,0,0,10,0,10,49,3424774,3022980013,,3162018,BINandBBL,320596057,,,1-to-1,2015,NB,49
0101000020E6100000440F636FB57C52C02914B7440D644440,121192155,53392,1766-68 Second Avenue,9/30/15,,53392957047,957047,,1766,2 AVENUE,Manhattan,10128,1015550001,1078664,MN-08,5,154,MN32,40.78177857,-73.94888436,40.78165492,-73.94857392,,New Construction,Non Prevailing Wage,421a,0,0,20,0,0,0,0,0,20,0,0,0,0,0,20,0,20,20,1078664,1015550001,,3162018,BINandBBL,121192155,,,1-to-1,2016,NB,20
0101000020E61000002DB9279BB47C52C081E01A6D0F644440,121192182,53392,1766-68 Second Avenue,9/30/15,,53392968239,968239,,1768,2 AVENUE,Manhattan,10128,1015550002,1078665,MN-08,5,154,MN32,40.78181973,-73.94885544,40.78172077,-73.94852332,,New Construction,Non Prevailing Wage,421a,0,0,5,0,0,0,0,0,1,4,0,0,0,0,5,0,5,5,1078665,1015550002,,3162018,BINandBBL,121192182,,,1-to-1,2016,NB,5
0101000020E61000001727DFE87A7C52C0C772222C70664440,121543133,65092,1770 MADISON AVENUE LLC,1/5/16,10/16/17,65092965502,965502,,1770,MADISON AVENUE,Manhattan,10035,1016227501,1089838,MN-11,9,184,MN34,40.80023769,-73.94467679,40.80029823,-73.94500181,10/16/17,New Construction,Non Prevailing Wage,421a,0,0,7,0,0,0,1,6,0,0,0,0,0,0,7,0,7,32,1089838,1016227501,,3162018,BINandBBL,121543133,,,1-to-1,2014,NB,32
0101000020E61000007E71EB662D7952C08B3F40ADD86B4440,220331200,65093,1802 CROTONA AVENUE,4/2/15,,65093952387,952387,,1802,CROTONA AVENUE,Bronx,10457,2029480003,,BX-06,17,36902,BX17,40.84283,-73.89349326,40.84254995,-73.89339612,,New Construction,Non Prevailing Wage,421a,0,0,11,0,0,0,0,5,6,0,0,0,0,0,11,0,11,55,,2029480003,,3162018,BBLOnly,220331200,,,1-to-1,2013,NB,55
0101000020E6100000225724051A7F52C0BBD917B7EE594440,320877627,50871,181 Front Street,12/12/14,,50871950133,950133,,181,FRONT STREET,Brooklyn,11201,3000410042,3000096,BK-02,33,21,BK38,40.70240537,-73.98594876,40.70259751,-73.98596314,,New Construction,Non Prevailing Wage,421a,0,0,21,0,0,0,0,9,11,1,0,0,0,0,21,0,21,105,3000096,3000410042,,3162018,Amanda_Manual,320877627,,,1-to-1,2014,NB,105
0101000020E61000008AB09FCD837C52C043E64668B6584440,320914196,66053,183 TOMPKINS LLC,7/6/17,,66053966423,966423,,183,TOMPKINS AVENUE,Brooklyn,11206,3017720003,3049349,BK-03,36,261,BK75,40.69300363,-73.94582235,40.69306663,-73.94554463,,New Construction,Non Prevailing Wage,421a,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,2,10,3049349,3017720003,,3162018,BINandBBL,320914196,,,1-to-1,2015,NB,10
0101000020E61000009DA71165B57D52C0530FA869DD5B4440,321504555,64297,187 KENT AVENUE,12/28/17,,64297978835,978835,,187,KENT AVENUE,Brooklyn,11249,3023570001,3335730,BK-01,33,555,BK73,40.71798268,-73.96421434,40.71769448,-73.96419646,,New Construction,Non Prevailing Wage,421a,0,0,20,0,0,0,5,5,10,0,0,0,0,0,20,0,20,96,3335730,3023570001,,3162018,BINandBBL,321504555,,,1-to-1,0,NB,96
0101000020E6100000103D0885717D52C0E3A57AB6B75D4440,310234207,53334,19 India Street (145 West Street),5/24/16,,53334926996,926996,,155,WEST STREET,Brooklyn,11222,3025300001,,BK-01,33,563,BK76,40.73232803,-73.95968195,40.73216897,-73.96005369,,New Construction,Non Prevailing Wage,421a,0,28,112,0,0,0,35,35,70,0,0,0,0,0,140,0,140,140,,3025300001,,3162018,Amanda_Manual,310234207,,,1-to-1,2015,NB,140
0101000020E610000031F378B5B77852C041099697BA6B4440,220396060,65094,1907 SOUTHERN BOULEVARD,8/11/16,,65094110093,110093,,1907,SOUTHERN BOULEVARD,Bronx,10460,2029600003,2126987,BX-06,17,36502,BX17,40.84140375,-73.88593118,40.84163184,-73.8862127,,New Construction,Non Prevailing Wage,421a,0,0,6,0,0,0,0,3,3,0,0,0,0,0,6,0,6,27,2126987,2029600003,,3162018,BINandBBL,220396060,,,1-to-1,2015,NB,27
,321020514,67007,198 19TH STREET,1/5/18,,67007974368,974368,,198,19 STREET,Brooklyn,11232,3006370019,3323805,BK-07,38,143,BK37,40.66320521,-73.99347592,40.66300485,-73.9936057,,New Construction,Non Prevailing Wage,421a,0,0,6,0,0,0,0,3,3,0,0,0,0,0,6,0,6,29,,,,5032018,Amanda_Manual,321020514,,,1-to-1,2015,NB,29
,121626892,67008,1992 THIRD AVENUE APARTMENTS,2/18/18,,67008958943,958943,,1992,3 AVENUE,Manhattan,10029,1016370036,1052157,MN-11,8,172,MN33,40.79378954,-73.9430714,40.79392143,-73.9433566,,New Construction,Non Prevailing Wage,421a,0,0,0,0,5,0,0,5,0,0,0,0,0,0,5,0,5,15,,,0,5032018,Bill_Manual,121626892,,,1-to-1,2014,NB,15
0101000020E6100000D482B4520A7D52C0C7F44209CC664440,121036093,65095,207 WEST 115TH STREET,4/8/15,,65095945392,945392,,207,WEST 115 STREET,Manhattan,10026,1018310023,1088835,MN-10,9,218,MN11,40.80276126,-73.9535422,40.80310169,-73.95375507,,New Construction,Non Prevailing Wage,421a,0,0,10,0,0,0,0,9,1,0,0,0,0,0,10,0,10,29,1088835,1018310023,,3162018,BINandBBL,121036093,,,1-to-1,2012,NB,29
0101000020E610000078FD17426D7E52C097EFAEEDCC5F4440,121329151,50467,210 East 39th Street,12/4/14,11/14/17,50467948896,948896,,210,EAST 39 STREET,Manhattan,10016,1009197501,1090104,MN-06,4,78,MN20,40.7486857,-73.97541129,40.74844142,-73.97541859,11/14/17,New Construction,Non Prevailing Wage,421a,0,0,11,0,0,0,1,7,3,0,0,0,0,0,11,0,11,55,1090104,1009197501,,3162018,Amanda_Manual,121329151,,,1-to-1,2015,NB,57
0101000020E6100000FB2D8DA1147F52C0FBC1C8E437584440,320627050,52789,210 Livingston Street,12/2/15,,52789955834,955834,,210,LIVINGSTON STREET,Brooklyn,11201,3001650001,3000495,BK-02,33,37,BK38,40.68956256,-73.98558727,40.68920574,-73.98563422,,New Construction,Non Prevailing Wage,421a,0,0,74,0,0,0,22,34,18,0,0,0,0,0,74,0,74,368,3000495,3001650001,,3162018,BINandBBL,320627050,,,1-to-1,2015,NB,368
0101000020E61000009B7AD5B1A77C52C06030A8047E5F4440,402375069,65096,21-03 46 AVENUE APARTMENTS,1/7/16,11/30/16,65096949313,949313,,21-03,46 AVENUE,Queens,11101,4000760001,4539161,QN-02,26,7,QN31,40.74594274,-73.94784361,40.74603327,-73.94773527,11/30/16,New Construction,Non Prevailing Wage,421a,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,8,4539161,4000760001,,3162018,BINandBBL,402375069,,,1-to-1,2007,NB,8
0101000020E610000026203F7EE37C52C092495F6B635D4440,320627256,53337,211 McGuinness Boulevard,6/10/15,,53337956966,956966,,211,MC GUINNESS BOULEVARD,Brooklyn,11222,3025760020,3065202,BK-01,33,575,BK76,40.729525,-73.95097021,40.72959654,-73.95138508,,New Construction,Non Prevailing Wage,421a,0,0,40,0,0,0,5,28,7,0,0,0,0,0,40,0,40,197,3065202,3025760020,,3162018,BINandBBL,320627256,,,1-to-1,2015,NB,197
0101000020E6100000074A86F39B7F52C0D9FB9EA2B45F4440,122143457,54494,211 WEST 28TH STREET,4/17/15,,5449431902,31902,,211,WEST 28 STREET,Manhattan,10001,1007780033,1014260,MN-05,3,95,MN17,40.74751067,-73.99398376,40.74770005,-73.99389351,,New Construction,Non Prevailing Wage,Article XI ,0,0,37,0,0,0,37,0,0,0,0,0,0,0,37,0,37,37,1014260,1007780033,,3162018,BINandBBL,122143457,,,1-to-1,2016,A1,37
0101000020E610000014EAA7071E7C52C0990D53D731664440,121562950,65097,2139 THIRD AVENUE,2/8/17,,65097969379,969379,,2139,3 AVENUE,Manhattan,10035,1016667501,1090250,MN-11,8,188,MN34,40.79845932,-73.9396326,40.79839603,-73.93933288,,New Construction,Non Prevailing Wage,421a,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,5,21,1090250,1016667501,,3162018,BINandBBL,121562950,,,1-to-1,2015,NB,21
0101000020E6100000446A5EFE987F52C0EB952ED4CC5F4440,121184431,51585,217-221 W. 29th Street,10/8/14,,51585952295,952295,,221,WEST 29 STREET,Manhattan,10001,1007790027,,MN-05,3,95,MN17,40.74821331,-73.99373467,40.74843838,-73.99371299,,New Construction,Non Prevailing Wage,421a,0,0,19,0,0,0,4,13,2,0,0,0,0,0,19,0,19,95,,1007790027,,3162018,BBLOnly,121184431,,,1-to-1,2014,NB,95
